Date,Confirmed,Recovered,Active,Death
02-02-2020,1,0,1,0
16-02-2020,0,1,0,0
24-03-2020,1,0,1,0
04-04-2020,1,0,2,0
07-04-2020,0,1,1,0
08-04-2020,2,0,3,0
17-04-2020,0,1,2,0
20-04-2020,0,2,0,0
15-05-2020,2,0,2,0
18-05-2020,2,0,4,0
19-05-2020,1,0,5,0
20-05-2020,1,0,6,0
21-05-2020,2,0,8,0
23-05-2020,5,0,13,0
24-05-2020,4,0,17,0
25-05-2020,3,0,20,0
26-05-2020,3,1,22,0
27-05-2020,7,1,28,0
28-05-2020,1,0,29,0
29-05-2020,3,0,32,0
30-05-2020,2,0,33,1
31-05-2020,6,0,39,0
01-06-2020,2,0,41,0
02-06-2020,10,0,51,0
03-06-2020,7,1,57,0
04-06-2020,8,0,65,0
05-06-2020,5,4,66,0
06-06-2020,4,0,70,0
07-06-2020,7,3,74,0
08-06-2020,5,0,79,0
09-06-2020,11,2,88,0
10-06-2020,1,7,82,0
12-06-2020,13,0,95,0
13-06-2020,9,0,104,0
14-06-2020,0,2,102,0
15-06-2020,5,0,107,0
16-06-2020,7,5,109,0
17-06-2020,1,16,94,0
18-06-2020,9,10,93,0
19-06-2020,13,4,102,0
20-06-2020,4,12,94,0
21-06-2020,10,10,94,0
22-06-2020,12,1,105,0
23-06-2020,19,0,124,0
24-06-2020,15,13,126,0
25-06-2020,18,3,141,0
26-06-2020,21,0,162,0
27-06-2020,13,6,169,0
28-06-2020,10,5,174,0
29-06-2020,5,9,170,0
30-06-2020,9,0,179,0
01-07-2020,8,9,178,0
02-07-2020,16,8,186,0
03-07-2020,21,2,205,0
04-07-2020,20,36,189,0
05-07-2020,13,2,200,0
06-07-2020,15,7,208,0
07-07-2020,18,4,221,0
08-07-2020,18,16,223,0
09-07-2020,22,8,237,0
10-07-2020,50,24,263,0
11-07-2020,87,11,339,0
12-07-2020,57,2,393,1
13-07-2020,119,7,505,0
14-07-2020,34,17,521,1
15-07-2020,20,0,541,0
16-07-2020,20,13,548,0
17-07-2020,57,7,598,0
18-07-2020,42,36,604,0
19-07-2020,52,34,622,0
20-07-2020,53,10,665,0
21-07-2020,46,72,639,0
22-07-2020,120,19,740,0
23-07-2020,82,39,783,0
24-07-2020,44,49,777,1
25-07-2020,102,70,809,0
26-07-2020,46,50,805,0
27-07-2020,30,150,685,0
28-07-2020,84,80,688,1
29-07-2020,38,35,688,0
30-07-2020,55,20,721,0
31-07-2020,35,25,731,0
01-08-2020,67,100,698,0
02-08-2020,38,15,721,0
03-08-2020,101,50,771,1
04-08-2020,126,55,842,0
05-08-2020,108,60,890,0
06-08-2020,99,30,959,0
07-08-2020,61,70,949,1
08-08-2020,169,100,1017,1
09-08-2020,110,35,1092,0
10-08-2020,30,25,1097,0
11-08-2020,146,70,1173,0
12-08-2020,118,60,1231,0
13-08-2020,72,70,1233,0
14-08-2020,113,66,1280,0
15-08-2020,118,80,1318,0
16-08-2020,86,30,1374,0
17-08-2020,139,111,1401,2
18-08-2020,126,65,1462,0
19-08-2020,253,65,1650,0
20-08-2020,198,75,1773,0
21-08-2020,155,67,1860,1
22-08-2020,87,125,1822,0
23-08-2020,241,53,2009,1
24-08-2020,60,150,1919,0
25-08-2020,170,60,2027,2
26-08-2020,193,95,2125,0
27-08-2020,172,130,2166,1
28-08-2020,286,150,2302,0
29-08-2020,175,236,2241,0
