Date,Confirmed,Recovered,Active,Death
20-03-2020,6,0,6,0
21-03-2020,3,0,9,0
22-03-2020,2,0,11,0
23-03-2020,2,0,13,0
24-03-2020,1,0,14,0
25-03-2020,3,0,17,0
26-03-2020,0,4,13,0
28-03-2020,0,0,12,1
29-03-2020,1,0,13,0
01-04-2020,3,0,16,0
04-04-2020,1,0,17,0
07-04-2020,0,4,13,0
09-04-2020,0,4,9,0
10-04-2020,0,1,8,0
14-04-2020,0,2,6,0
16-04-2020,0,1,5,0
17-04-2020,0,2,3,0
27-04-2020,0,1,2,0
01-05-2020,0,1,1,0
08-05-2020,1,0,2,0
10-05-2020,1,0,3,0
17-05-2020,1,0,4,0
18-05-2020,1,0,5,0
20-05-2020,1,0,6,0
21-05-2020,0,1,5,0
24-05-2020,4,0,9,0
25-05-2020,0,1,8,0
26-05-2020,5,1,12,0
27-05-2020,2,0,14,0
29-05-2020,4,0,18,0
30-05-2020,4,0,22,0
31-05-2020,1,1,22,0
01-06-2020,3,0,25,0
02-06-2020,3,0,28,0
03-06-2020,5,0,33,0
04-06-2020,2,0,35,0
05-06-2020,10,4,41,0
06-06-2020,3,4,40,0
08-06-2020,3,0,43,0
09-06-2020,4,1,46,0
10-06-2020,4,2,48,0
11-06-2020,2,6,44,0
12-06-2020,5,3,46,0
13-06-2020,7,0,53,0
14-06-2020,7,1,59,0
15-06-2020,13,2,69,0
16-06-2020,13,1,81,0
17-06-2020,5,2,84,0
18-06-2020,6,4,86,0
19-06-2020,11,0,97,0
20-06-2020,3,1,99,0
21-06-2020,5,0,104,0
22-06-2020,14,9,109,0
23-06-2020,13,6,116,0
24-06-2020,8,4,120,0
25-06-2020,10,2,128,0
26-06-2020,9,0,137,0
27-06-2020,14,0,151,0
28-06-2020,7,0,158,0
29-06-2020,5,2,161,0
30-06-2020,10,7,164,0
01-07-2020,12,1,175,0
02-07-2020,9,10,174,0
03-07-2020,17,20,171,0
04-07-2020,13,7,177,0
05-07-2020,12,7,182,0
06-07-2020,25,16,190,1
07-07-2020,21,20,191,0
08-07-2020,16,12,195,0
09-07-2020,12,15,192,0
10-07-2020,20,4,208,0
11-07-2020,47,3,251,1
12-07-2020,50,5,296,0
13-07-2020,15,10,301,0
14-07-2020,70,0,371,0
15-07-2020,72,1,442,0
16-07-2020,57,7,492,0
17-07-2020,115,4,603,0
18-07-2020,44,8,639,0
19-07-2020,98,7,729,1
20-07-2020,72,7,793,1
21-07-2020,80,5,868,0
22-07-2020,92,18,942,0
23-07-2020,100,95,946,1
24-07-2020,69,151,864,0
25-07-2020,79,77,865,1
26-07-2020,61,107,819,0
27-07-2020,15,69,765,0
28-07-2020,70,83,751,1
29-07-2020,83,58,776,0
30-07-2020,34,69,739,1
31-07-2020,132,66,801,2
01-08-2020,59,35,823,2
02-08-2020,128,37,914,0
03-08-2020,106,38,980,0
04-08-2020,135,49,1065,1
05-08-2020,120,35,1149,1
06-08-2020,73,146,1076,0
07-08-2020,82,29,1127,1
08-08-2020,101,62,1165,0
09-08-2020,54,138,1080,1
10-08-2020,101,47,1133,1
11-08-2020,133,70,1195,1
12-08-2020,121,51,1264,1
13-08-2020,115,109,1270,0
14-08-2020,114,87,1295,2
15-08-2020,106,124,1275,2
16-08-2020,123,120,1276,2
17-08-2020,129,64,1342,0
18-08-2020,192,64,1470,0
19-08-2020,230,101,1596,3
20-08-2020,150,121,1625,0
21-08-2020,165,89,1700,1
22-08-2020,114,98,1714,2
23-08-2020,200,171,1743,0
24-08-2020,165,142,1765,1
25-08-2020,163,85,1843,0
26-08-2020,193,191,1845,0
27-08-2020,140,90,1895,0
28-08-2020,207,155,1947,0
29-08-2020,136,148,1935,0
30-08-2020,231,182,1984,0
31-08-2020,210,90,2104,0
01-09-2020,161,134,2130,1
02-09-2020,136,119,2144,3
03-09-2020,164,209,2098,1
04-09-2020,274,185,2187,0
05-09-2020,186,128,2245,0
06-09-2020,281,185,2341,0
07-09-2020,130,184,2286,1
08-09-2020,318,204,2397,3
09-09-2020,276,105,2567,1
10-09-2020,227,116,2678,0
11-09-2020,295,63,2908,2
12-09-2020,188,233,2862,1
13-09-2020,326,232,2954,2
14-09-2020,255,125,3083,1
15-09-2020,239,209,3112,1
16-09-2020,319,371,3060,0
17-09-2020,383,357,3086,0
18-09-2020,348,221,3212,1
19-09-2020,351,189,3372,2
20-09-2020,537,289,3619,1
21-09-2020,299,297,3621,0
22-09-2020,406,250,3775,1
23-09-2020,624,254,4145,0
24-09-2020,590,248,4486,1
25-09-2020,655,325,4816,0
26-09-2020,729,246,5296,3
27-09-2020,924,337,5881,2
28-09-2020,537,220,6198,0
29-09-2020,859,216,6841,0
30-09-2020,1056,263,7633,1
01-10-2020,934,226,8334,7
02-10-2020,1042,212,9161,3
03-10-2020,925,402,9684,0
04-10-2020,952,405,10229,2
05-10-2020,705,236,10693,5
06-10-2020,837,337,11193,0
07-10-2020,1201,385,12009,0
08-10-2020,391,707,11693,0
09-10-2020,911,458,12142,4
10-10-2020,1191,983,12342,8
11-10-2020,1228,1036,12534,0
12-10-2020,480,1018,11993,3
13-10-2020,1122,1123,11988,4
14-10-2020,793,823,11956,2
15-10-2020,1209,719,12445,1
16-10-2020,606,843,12208,0
17-10-2020,1022,941,12287,1
18-10-2020,730,1307,11706,4
19-10-2020,598,978,11321,5
20-10-2020,644,974,10989,2
21-10-2020,1190,970,11206,3
22-10-2020,929,414,11716,5
23-10-2020,874,649,11939,2
24-10-2020,1170,538,12568,3
25-10-2020,816,1116,12263,5
26-10-2020,457,1096,11623,1
27-10-2020,716,914,11421,4
28-10-2020,1250,633,12034,4
29-10-2020,802,600,12235,1
30-10-2020,674,741,12166,2
31-10-2020,1114,853,12419,7
01-11-2020,1042,808,12651,1
02-11-2020,518,1093,12073,3
03-11-2020,850,865,12056,2
04-11-2020,1197,1078,12169,6
05-11-2020,749,1288,11629,1
06-11-2020,673,1075,11220,7
07-11-2020,1042,1010,11248,4
08-11-2020,644,845,11046,1
09-11-2020,433,827,10649,3
10-11-2020,583,1078,10153,1
11-11-2020,977,758,10371,1
12-11-2020,489,1008,9849,3
13-11-2020,756,707,9895,3
14-11-2020,860,800,9955,0
15-11-2020,489,828,9616,0
16-11-2020,279,503,9388,4
17-11-2020,613,588,9411,2
18-11-2020,887,720,9574,4
19-11-2020,423,936,9059,2
20-11-2020,554,545,9066,2
21-11-2020,797,658,9205,0
22-11-2020,494,953,8745,1
23-11-2020,325,517,8549,4
24-11-2020,570,450,8667,2
25-11-2020,774,750,8689,2
26-11-2020,472,807,8351,3
27-11-2020,397,476,8270,2
28-11-2020,812,451,8626,5
29-11-2020,512,1001,8133,4
30-11-2020,317,518,7930,2
01-12-2020,504,659,7773,2
02-12-2020,732,443,8055,7
03-12-2020,441,770,7725,1
04-12-2020,486,440,7768,3
05-12-2020,665,492,7937,4
06-12-2020,474,685,7723,3
07-12-2020,278,354,7647,0
08-12-2020,528,403,7767,5
09-12-2020,717,532,7952,0
10-12-2020,555,649,7855,3
11-12-2020,409,592,7671,1
12-12-2020,732,510,7885,8
13-12-2020,509,804,7588,2
14-12-2020,343,582,7344,5
15-12-2020,617,416,7545,0
16-12-2020,959,720,7783,1
17-12-2020,481,565,7697,2
18-12-2020,578,504,7769,2
19-12-2020,826,606,7987,2
20-12-2020,591,499,8076,3
21-12-2020,377,476,7969,8
22-12-2020,686,414,8238,3
23-12-2020,953,709,8480,1
24-12-2020,544,979,8041,4
25-12-2020,586,601,8026,0
26-12-2020,403,432,7994,3
27-12-2020,605,450,8146,3
28-12-2020,340,536,7949,1
29-12-2020,734,377,8306,0
30-12-2020,1006,780,8531,1
31-12-2020,574,513,8590,2
01-01-2021,602,594,8589,7
02-01-2021,743,552,8776,2
03-01-2021,728,502,8998,4
04-01-2021,382,749,8628,3
05-01-2021,719,401,8942,4
06-01-2021,1068,946,9061,2
07-01-2021,663,1102,8619,3
08-01-2021,708,686,8638,3
09-01-2021,893,761,8766,4
10-01-2021,650,718,8696,1
11-01-2021,443,485,8650,4
12-01-2021,813,516,8946,1
13-01-2021,998,906,9033,5
14-01-2021,659,599,9092,1
15-01-2021,799,537,9348,3
16-01-2021,1046,846,9545,3
17-01-2021,767,427,9885,0
18-01-2021,574,518,9941,0
19-01-2021,1019,463,10495,1
20-01-2021,1031,803,10721,2
21-01-2021,771,713,10775,3
22-01-2021,1018,1005,10788,0
23-01-2021,1083,1038,10831,2
24-01-2021,822,1045,10607,1
25-01-2021,487,616,10473,5
26-01-2021,866,881,10450,7
27-01-2021,879,739,10589,1
28-01-2021,784,792,10581,0
29-01-2021,865,711,10732,3
30-01-2021,859,826,10765,0
31-01-2021,743,725,10783,0
01-02-2021,424,908,10295,3
02-02-2021,755,667,10375,7
03-02-2021,871,909,10336,1
04-02-2021,833,911,10257,1
05-02-2021,714,802,10169,0
06-02-2021,898,690,10377,0
07-02-2021,558,726,10208,1
08-02-2021,431,627,10011,1
09-02-2021,615,605,10021,0
10-02-2021,811,766,10064,2
11-02-2021,632,669,10025,2
12-02-2021,589,743,9870,1
13-02-2021,746,800,9813,3
14-02-2021,439,640,9611,1
15-02-2021,393,502,9501,1
16-02-2021,643,486,9656,2
17-02-2021,519,604,9570,1
18-02-2021,609,597,9581,1
19-02-2021,535,537,9576,3
20-02-2021,564,658,9482,0
21-02-2021,514,500,9496,0
22-02-2021,246,389,9351,2
23-02-2021,484,746,9088,1
24-02-2021,473,600,8957,4
25-02-2021,408,490,8875,0
26-02-2021,332,345,8862,0
27-02-2021,415,516,8759,2
28-02-2021,352,476,8635,0
01-03-2021,240,500,8374,1
02-03-2021,306,470,8209,1
03-03-2021,281,509,7978,3
04-03-2021,228,627,7578,1
05-03-2021,291,561,7308,0
06-03-2021,237,333,7211,1
07-03-2021,219,784,6645,1
08-03-2021,138,329,6454,0
09-03-2021,231,500,6185,0
10-03-2021,244,1000,5429,0
11-03-2021,205,557,5077,0
12-03-2021,154,623,4608,0
13-03-2021,232,747,4093,0
14-03-2021,132,425,3798,2
15-03-2021,119,632,3282,2
16-03-2021,238,752,2762,5
17-03-2021,255,310,2704,2
18-03-2021,184,206,2680,2
19-03-2021,185,190,2673,1
20-03-2021,228,128,2772,1
21-03-2021,154,130,2795,1
22-03-2021,106,102,2797,2
23-03-2021,178,310,2665,0
24-03-2021,245,103,2807,0
25-03-2021,188,171,2824,0
26-03-2021,171,326,2669,0
27-03-2021,247,391,2521,4
28-03-2021,220,326,2415,0
29-03-2021,184,508,2090,1
30-03-2021,283,309,2064,0
31-03-2021,316,232,2146,2
01-04-2021,327,157,2316,0
02-04-2021,278,393,2199,2
03-04-2021,268,176,2289,1
04-04-2021,368,142,2514,1
05-04-2021,316,150,2680,0
06-04-2021,487,191,2976,0
07-04-2021,504,125,3354,1
08-04-2021,654,137,3867,3
09-04-2021,607,126,4345,3
10-04-2021,977,139,5183,0
11-04-2021,842,120,5905,0
12-04-2021,779,137,6546,1
13-04-2021,1162,336,7371,1
14-04-2021,1226,201,8394,2
15-04-2021,1267,337,9324,0
16-04-2021,1391,515,10194,6
17-04-2021,2187,327,12052,2
18-04-2021,2835,355,14532,0
19-04-2021,1781,350,15961,2
20-04-2021,3212,458,18711,4
21-04-2021,3980,700,21990,1
22-04-2021,4396,541,25844,1
23-04-2021,4548,572,29820,0
24-04-2021,3320,821,32316,3
25-04-2021,4468,1002,35781,1
26-04-2021,2515,801,37494,1
27-04-2021,4270,2000,39761,1
28-04-2021,5287,1012,44036,0
29-04-2021,5369,1293,48107,2
30-04-2021,4642,2689,50051,7
01-05-2021,5002,1987,53066,0
02-05-2021,3502,2279,54289,0
03-05-2021,3291,3500,54076,4
04-05-2021,5030,4235,54867,4
05-05-2021,6558,2732,58692,1
06-05-2021,6506,2999,62197,2
07-05-2021,5361,2735,64820,3
08-05-2021,5492,4052,66249,11
09-05-2021,4767,3393,67613,10
10-05-2021,2834,3999,66442,5
11-05-2021,4514,5200,65755,1
12-05-2021,6410,4474,67672,17
13-05-2021,5026,3468,69226,4
14-05-2021,3855,3341,69721,19
15-05-2021,3744,3065,70391,9
16-05-2021,3154,4620,68920,5
17-05-2021,2315,14900,56325,10
18-05-2021,3517,6336,53489,16
19-05-2021,4282,5513,52243,13
20-05-2021,3336,4418,51156,5
21-05-2021,3102,3118,51120,19
22-05-2021,3219,8296,46033,10
23-05-2021,2823,4016,44821,19
24-05-2021,1885,4393,42295,16
25-05-2021,3063,3917,41390,51
26-05-2021,3444,4999,39824,11
27-05-2021,2779,4280,38312,10
28-05-2021,2237,2303,38237,9
29-05-2021,2606,4280,36528,35
30-05-2021,1977,3439,35025,41
31-05-2021,1247,4003,32256,13
01-06-2021,2081,2424,31880,33
02-06-2021,2325,4910,29285,10
03-06-2021,2041,4973,26349,2
04-06-2021,1551,6149,21746,5
05-06-2021,1769,1778,21731,6
06-06-2021,1807,1936,21592,10
07-06-2021,968,2546,20002,11
08-06-2021,1868,1213,20654,3
09-06-2021,2059,2538,20162,13
10-06-2021,1596,2043,19689,26
11-06-2021,1629,1907,19394,17
12-06-2021,1539,2718,18183,31
13-06-2021,1088,2332,16911,25
14-06-2021,977,1771,16078,39
15-06-2021,1702,2027,15728,25
16-06-2021,1793,1801,15705,14
17-06-2021,1322,1899,15123,5
18-06-2021,1315,1533,14892,13
19-06-2021,1557,1010,15439,0
20-06-2021,1461,1186,15699,15
21-06-2021,926,1180,15441,4
22-06-2021,1491,1021,15888,23
23-06-2021,1706,1984,15598,11
24-06-2021,1461,2006,15038,14
25-06-2021,1112,1504,14634,12
26-06-2021,1414,1174,14869,5
27-06-2021,1103,1532,14428,10
28-06-2021,721,1221,13924,4
29-06-2021,1372,1062,14226,7
30-06-2021,1448,1329,14339,6
01-07-2021,1153,1520,13964,6
02-07-2021,1116,1194,13864,22
03-07-2021,1296,1172,13973,15
04-07-2021,1105,1082,13993,3
05-07-2021,713,1105,13576,24
06-07-2021,1468,868,14161,14
07-07-2021,1727,1199,14673,16
08-07-2021,1323,1812,14155,29
09-07-2021,1291,1389,14034,23
10-07-2021,1465,1381,14106,12
11-07-2021,1128,1524,13693,16
12-07-2021,582,1046,13222,7
13-07-2021,1624,634,14198,14
14-07-2021,1894,904,15166,21
15-07-2021,1536,1274,15420,7
16-07-2021,1352,708,16031,33
17-07-2021,1908,1112,16809,18
18-07-2021,1555,1224,17122,18
19-07-2021,921,1197,16841,5
20-07-2021,1901,1091,17644,7
21-07-2021,2270,1600,18309,5
22-07-2021,1554,1052,18795,16
23-07-2021,1832,1093,19526,8
24-07-2021,2009,1419,20104,12
25-07-2021,1687,1306,20467,18
26-07-2021,1153,1477,20138,5
27-07-2021,2352,1151,21327,12
28-07-2021,2397,1993,21721,10
29-07-2021,2359,2026,22033,21
30-07-2021,2306,1599,22730,10
31-07-2021,2072,1135,23661,6
01-08-2021,2246,1621,24286,0
02-08-2021,1219,1521,23972,12
03-08-2021,2702,2000,24663,11
04-08-2021,2663,1544,25770,12
05-08-2021,2373,1888,26248,7
06-08-2021,2310,1353,27196,9
07-08-2021,2121,2308,26978,31
08-08-2021,2216,2339,26844,11
09-08-2021,1329,2394,25770,9
10-08-2021,2539,2196,26101,12
11-08-2021,2856,2024,26921,12
12-08-2021,2425,2703,26629,14
13-08-2021,2388,2103,26905,9
14-08-2021,2243,2037,27096,15
15-08-2021,2161,1885,27370,2
16-08-2021,1353,2289,26427,7
17-08-2021,2643,2292,26770,8
18-08-2021,2636,2100,27289,17
19-08-2021,2527,2174,27619,23
20-08-2021,2707,1507,28801,18
21-08-2021,1957,2327,28421,10
22-08-2021,1101,7420,22097,5
23-08-2021,1566,4553,19101,9
24-08-2021,3149,1170,21067,13
25-08-2021,4048,1872,23230,13
26-08-2021,3872,2136,24944,21
27-08-2021,3627,1843,26719,9
28-08-2021,3807,1819,28695,12
29-08-2021,3178,2022,29851,0
30-08-2021,2315,2477,29676,13
31-08-2021,3548,2020,31200,4
01-09-2021,4324,2126,33377,21
02-09-2021,3768,2190,34934,21
03-09-2021,3435,2321,36041,7
04-09-2021,3456,2828,36651,18
05-09-2021,2915,2422,37144,0
06-09-2021,2029,2842,36312,19
07-09-2021,3194,2319,37163,24
08-09-2021,3611,2648,38109,17
09-09-2021,3175,2872,38403,9
10-09-2021,3034,2722,38705,10
11-09-2021,2490,3229,37941,25
12-09-2021,2572,3773,36734,6
13-09-2021,1694,3699,34724,5
14-09-2021,1893,3401,33194,22
15-09-2021,1645,3377,31456,6
16-09-2021,2901,3362,30983,12
17-09-2021,3143,2202,31906,18
18-09-2021,2626,7075,27433,24
19-09-2021,2810,5708,24527,8
20-09-2021,1720,2730,23514,3
21-09-2021,1545,2712,22321,26
22-09-2021,2792,2000,23094,19
23-09-2021,2564,2814,22833,11
24-09-2021,2397,614,24600,16
25-09-2021,2500,567,26521,12
26-09-2021,2572,635,28448,10
27-09-2021,1529,606,29366,5
28-09-2021,1132,3090,27400,8
29-09-2021,1526,2518,26399,9
30-09-2021,2332,2474,26251,6
01-10-2021,1812,1500,26553,10
02-10-2021,1730,1486,26779,18
03-10-2021,1904,1728,26941,14
04-10-2021,920,3566,24286,9
05-10-2021,1099,2498,22878,9
06-10-2021,1932,2328,22476,6
07-10-2021,1839,3280,21023,12
08-10-2021,1495,1212,21301,5
09-10-2021,1337,1318,21311,9
10-10-2021,1639,2762,20170,18
11-10-2021,1058,3825,17393,10
12-10-2021,931,2088,16224,12
13-10-2021,1794,978,17035,5
14-10-2021,1332,1191,17171,5
15-10-2021,1377,1641,16889,18
16-10-2021,1280,1512,16652,5
17-10-2021,975,1671,15944,12
18-10-2021,1199,1015,16121,7
19-10-2021,817,2005,14923,10
20-10-2021,2012,593,16337,5
21-10-2021,1434,1072,16690,9
22-10-2021,1552,1891,16298,53
23-10-2021,1233,1266,16199,66
24-10-2021,1481,676,16967,37
25-10-2021,1168,1453,16657,25
26-10-2021,709,1298,15925,143
27-10-2021,1517,884,16459,99
28-10-2021,1298,930,16803,24
29-10-2021,1047,1733,15913,204
30-10-2021,862,1323,15216,236
31-10-2021,1046,918,15333,11
01-11-2021,867,1366,14793,41
02-11-2021,916,1730,13881,98
03-11-2021,1025,1157,13689,60
04-11-2021,1163,840,13992,20
05-11-2021,791,1345,13338,100
06-11-2021,1037,944,13293,138
07-11-2021,1061,1039,13302,13
08-11-2021,577,971,12862,46
09-11-2021,767,1022,12480,127
10-11-2021,1151,964,12598,69
11-11-2021,922,484,12972,64
12-11-2021,1088,1004,12907,149
13-11-2021,907,772,13033,9
14-11-2021,919,826,13116,10
15-11-2021,616,1134,12565,33
16-11-2021,614,942,12230,7
17-11-2021,958,634,12499,55
18-11-2021,812,913,12328,70
19-11-2021,1109,973,12454,10
20-11-2021,835,963,12324,2
21-11-2021,873,874,12323,0
22-11-2021,622,963,11941,41
23-11-2021,469,1064,11310,36
24-11-2021,825,656,11419,60
25-11-2021,963,484,11880,18
26-11-2021,823,947,11747,9
27-11-2021,797,662,11849,33
28-11-2021,823,1078,11594,0
29-11-2021,666,946,11311,3
30-11-2021,592,813,11090,0
01-12-2021,822,676,11232,4
02-12-2021,794,523,11491,12
03-12-2021,770,848,11387,26
04-12-2021,606,806,11144,43
05-12-2021,678,702,11087,33
06-12-2021,568,724,10926,5
07-12-2021,776,1029,10673,0
08-12-2021,764,559,10872,6
09-12-2021,691,563,10995,5
