Date,Confirmed,Recovered,Active,Death
15-03-2020,1,0,1,0
25-03-2020,1,0,2,0
26-03-2020,1,0,3,0
30-03-2020,2,0,5,0
02-04-2020,5,0,10,0
03-04-2020,0,2,8,0
28-03-2020,0,1,7,0
08-04-2020,0,2,5,0
09-04-2020,0,2,3,0
11-04-2020,0,2,1,0
12-04-2020,0,1,0,0
23-04-2020,4,0,4,0
26-04-2020,6,0,10,0
27-04-2020,4,0,14,0
02-05-2020,0,2,12,0
04-05-2020,0,10,2,0
06-05-2020,0,1,1,0
09-05-2020,0,1,0,0
14-05-2020,1,0,1,0
21-05-2020,1,0,2,0
25-05-2020,1,1,2,0
28-05-2020,1,0,3,0
29-05-2020,1,0,4,0
30-05-2020,4,0,8,0
01-06-2020,1,0,9,0
03-06-2020,9,0,18,0
05-06-2020,3,0,21,0
06-06-2020,3,1,23,0
07-06-2020,1,0,24,0
09-06-2020,0,1,23,0
10-06-2020,4,0,27,0
12-06-2020,1,4,24,0
13-06-2020,4,1,27,0
14-06-2020,2,2,27,0
15-06-2020,2,0,29,0
18-06-2020,6,0,35,0
19-06-2020,2,0,37,0
20-06-2020,1,0,38,0
21-06-2020,11,0,49,0
22-06-2020,4,2,51,0
24-06-2020,6,2,55,0
25-06-2020,3,2,56,0
26-06-2020,2,5,53,0
27-06-2020,2,5,50,0
28-06-2020,4,6,48,0
29-06-2020,5,0,53,0
30-06-2020,0,2,51,0
01-07-2020,1,2,50,0
02-07-2020,8,13,45,0
03-07-2020,2,0,47,0
04-07-2020,2,2,47,0
05-07-2020,6,0,53,0
06-07-2020,6,0,59,0
07-07-2020,1,1,59,0
08-07-2020,20,0,79,0
09-07-2020,20,8,91,0
10-07-2020,12,4,99,0
11-07-2020,5,4,100,0
12-07-2020,16,0,116,0
13-07-2020,4,0,120,0
15-07-2020,55,3,171,1
16-07-2020,26,6,191,0
17-07-2020,11,6,196,0
18-07-2020,28,6,218,0
19-07-2020,49,5,262,0
20-07-2020,24,1,285,0
21-07-2020,0,5,280,0
22-07-2020,43,1,321,1
23-07-2020,63,22,362,0
24-07-2020,29,96,295,0
25-07-2020,40,12,323,0
26-07-2020,48,31,340,0
27-07-2020,70,25,385,0
28-07-2020,7,27,365,0
29-07-2020,34,20,379,0
30-07-2020,6,31,354,0
31-07-2020,59,45,368,0
01-08-2020,14,32,350,0
02-08-2020,42,30,362,0
03-08-2020,26,54,334,0
04-08-2020,0,26,307,0
05-08-2020,39,58,288,0
06-08-2020,58,20,326,0
07-08-2020,23,57,292,0
08-08-2020,41,19,314,0
09-08-2020,17,31,300,0
10-08-2020,18,9,309,0
11-08-2020,4,68,245,0
12-08-2020,42,25,261,1
13-08-2020,31,22,270,0
14-08-2020,58,8,320,0
15-08-2020,31,39,312,0
16-08-2020,30,39,303,0
17-08-2020,23,15,311,0
18-08-2020,5,59,257,0
19-08-2020,64,5,316,0
20-08-2020,35,9,342,0
21-08-2020,34,18,358,0
22-08-2020,37,46,349,0
23-08-2020,29,19,359,0
24-08-2020,19,48,330,0
25-08-2020,6,37,299,0
26-08-2020,63,13,349,0
27-08-2020,27,28,348,0
28-08-2020,49,36,361,0
29-08-2020,27,41,347,0
30-08-2020,35,45,337,0
31-08-2020,15,23,329,0
01-09-2020,0,14,315,0
02-09-2020,12,42,285,0
03-09-2020,44,22,307,0
04-09-2020,29,26,310,0
05-09-2020,31,60,281,0
06-09-2020,39,19,301,0
07-09-2020,4,32,273,0
08-09-2020,85,12,346,0
09-09-2020,24,24,346,0
10-09-2020,105,15,436,0
11-09-2020,28,39,425,0
12-09-2020,86,28,483,0
13-09-2020,40,20,503,0
14-09-2020,58,25,536,0
15-09-2020,29,43,522,0
16-09-2020,76,21,577,0
17-09-2020,104,47,634,0
18-09-2020,100,73,661,0
19-09-2020,47,54,654,0
20-09-2020,77,65,666,0
21-09-2020,82,37,711,0
22-09-2020,42,42,710,0
23-09-2020,79,55,734,0
24-09-2020,151,61,824,0
25-09-2020,114,69,869,0
26-09-2020,107,64,912,0
27-09-2020,125,94,943,0
28-09-2020,114,36,1021,0
29-09-2020,57,84,994,0
30-09-2020,157,21,1130,0
01-10-2020,130,70,1190,0
02-10-2020,136,93,1233,0
03-10-2020,106,115,1223,1
04-10-2020,96,80,1239,0
05-10-2020,71,61,1249,0
06-10-2020,56,86,1219,0
07-10-2020,120,89,1249,1
08-10-2020,121,69,1301,0
09-10-2020,153,98,1356,0
10-10-2020,139,57,1438,0
11-10-2020,123,50,1511,0
12-10-2020,94,29,1575,1
13-10-2020,79,129,1525,0
14-10-2020,114,155,1484,0
15-10-2020,143,124,1503,0
16-10-2020,124,53,1573,1
17-10-2020,140,63,1650,0
18-10-2020,162,131,1681,0
19-10-2020,28,53,1656,0
20-10-2020,72,85,1643,0
21-10-2020,100,71,1672,0
22-10-2020,65,94,1643,0
23-10-2020,140,77,1706,0
24-10-2020,201,49,1858,0
25-10-2020,152,91,1919,0
26-10-2020,79,66,1932,0
27-10-2020,49,72,1908,1
28-10-2020,115,90,1933,0
29-10-2020,168,66,2034,1
30-10-2020,76,105,2005,0
31-10-2020,57,279,1783,0
01-11-2020,148,353,1578,0
02-11-2020,60,78,1560,0
03-11-2020,67,76,1551,0
04-11-2020,204,90,1665,0
05-11-2020,116,113,1668,0
06-11-2020,157,104,1721,0
07-11-2020,108,100,1729,0
08-11-2020,179,93,1815,0
09-11-2020,42,49,1808,0
10-11-2020,89,105,1792,0
11-11-2020,225,91,1926,0
12-11-2020,185,250,1861,0
13-11-2020,187,78,1970,0
14-11-2020,107,86,1990,1
15-11-2020,165,70,2085,0
16-11-2020,83,283,1884,1
17-11-2020,116,54,1946,0
18-11-2020,249,185,2010,0
19-11-2020,276,219,2067,0
20-11-2020,85,62,2090,0
21-11-2020,188,72,2206,0
22-11-2020,220,77,2349,0
23-11-2020,49,137,2261,0
24-11-2020,122,49,2334,0
25-11-2020,238,181,2391,0
26-11-2020,256,84,2562,1
27-11-2020,143,174,2531,0
28-11-2020,178,110,2599,0
29-11-2020,274,148,2725,0
30-11-2020,49,455,2319,0
01-12-2020,161,79,2401,0
02-12-2020,200,73,2528,0
03-12-2020,265,148,2645,0
04-12-2020,216,109,2752,0
05-12-2020,157,88,2821,0
06-12-2020,169,64,2926,0
07-12-2020,146,119,2953,0
08-12-2020,73,72,2953,1
09-12-2020,57,56,2954,0
10-12-2020,200,121,3033,0
11-12-2020,155,176,3012,0
12-12-2020,123,160,2975,0
13-12-2020,222,99,3097,1
14-12-2020,47,48,3096,0
15-12-2020,104,72,3128,0
16-12-2020,186,316,2998,0
17-12-2020,243,98,3142,1
18-12-2020,113,134,3121,0
19-12-2020,171,93,3199,0
20-12-2020,225,97,3327,0
21-12-2020,55,35,3347,0
22-12-2020,108,417,3038,0
23-12-2020,242,205,3074,0
24-12-2020,153,241,2985,1
25-12-2020,214,54,3145,0
26-12-2020,67,54,3158,0
27-12-2020,81,78,3161,0
28-12-2020,119,49,3231,0
29-12-2020,100,303,3028,0
30-12-2020,204,222,3009,1
31-12-2020,190,205,2992,2
01-01-2021,107,144,2954,1
02-01-2021,223,153,3024,0
03-01-2021,253,178,3098,1
04-01-2021,89,28,3159,0
05-01-2021,131,140,3149,1
06-01-2021,271,125,3294,1
07-01-2021,283,65,3512,0
08-01-2021,301,99,3712,1
09-01-2021,222,70,3864,0
10-01-2021,209,200,3872,1
11-01-2021,141,46,3967,0
12-01-2021,173,74,4066,0
13-01-2021,284,51,4298,1
14-01-2021,202,41,4458,1
15-01-2021,290,73,4675,0
16-01-2021,181,301,4554,0
17-01-2021,237,83,4706,2
18-01-2021,178,49,4835,0
19-01-2021,130,57,4908,0
20-01-2021,336,77,5167,0
21-01-2021,302,129,5340,0
22-01-2021,246,452,5134,0
23-01-2021,256,328,5061,1
24-01-2021,320,325,5055,1
25-01-2021,117,357,4815,0
26-01-2021,184,154,4845,0
27-01-2021,305,377,4772,1
28-01-2021,279,282,4769,0
29-01-2021,302,229,4842,0
30-01-2021,181,154,4869,0
31-01-2021,187,354,4702,0
01-02-2021,114,193,4623,0
02-02-2021,121,70,4673,1
03-02-2021,268,76,4865,0
04-02-2021,269,116,5018,0
05-02-2021,232,330,4920,0
06-02-2021,167,258,4827,2
07-02-2021,207,354,4680,0
08-02-2021,126,545,4261,0
09-02-2021,100,388,3972,1
10-02-2021,179,385,3766,0
11-02-2021,196,481,3481,0
12-02-2021,189,293,3377,0
13-02-2021,203,219,3361,0
14-02-2021,142,211,3292,0
15-02-2021,44,104,3232,0
16-02-2021,66,113,3185,0
17-02-2021,185,205,3165,0
18-02-2021,78,134,3109,0
19-02-2021,97,93,3113,0
20-02-2021,78,263,2928,0
21-02-2021,97,153,2872,0
22-02-2021,41,206,2707,0
23-02-2021,71,327,2450,1
24-02-2021,103,294,2259,0
25-02-2021,86,146,2199,0
26-02-2021,85,108,2176,0
27-02-2021,71,266,1981,0
28-02-2021,118,217,1882,0
01-03-2021,35,40,1877,0
02-03-2021,62,128,1811,0
03-03-2021,91,46,1856,0
04-03-2021,76,62,1870,0
05-03-2021,93,75,1888,0
06-03-2021,56,203,1741,0
07-03-2021,46,139,1648,0
08-03-2021,104,44,1708,0
09-03-2021,92,70,1730,0
10-03-2021,85,90,1725,0
11-03-2021,46,75,1696,0
12-03-2021,36,80,1652,0
13-03-2021,43,67,1627,1
14-03-2021,59,44,1642,0
15-03-2021,25,45,1622,0
16-03-2021,81,97,1606,0
17-03-2021,67,94,1579,0
18-03-2021,54,72,1559,2
19-03-2021,45,46,1557,1
20-03-2021,126,24,1655,4
21-03-2021,112,51,1715,1
22-03-2021,91,17,1789,0
23-03-2021,47,45,1791,0
24-03-2021,86,52,1824,1
25-03-2021,89,59,1854,0
26-03-2021,60,58,1856,0
27-03-2021,62,86,1832,0
28-03-2021,47,25,1854,0
29-03-2021,53,30,1876,1
30-03-2021,95,71,1900,0
31-03-2021,97,43,1954,0
01-04-2021,123,53,2024,0
02-04-2021,71,48,2047,0
03-04-2021,52,88,2011,0
04-04-2021,113,192,1932,0
05-04-2021,66,61,1937,0
06-04-2021,158,41,2054,0
07-04-2021,92,31,2114,1
08-04-2021,125,39,2200,0
09-04-2021,246,48,2398,0
10-04-2021,230,95,2533,0
11-04-2021,291,77,2747,0
12-04-2021,194,46,2894,1
13-04-2021,259,106,3046,1
14-04-2021,340,57,3329,0
15-04-2021,205,40,3494,0
16-04-2021,293,123,3664,0
17-04-2021,645,117,4192,0
18-04-2021,682,70,4804,0
19-04-2021,469,53,5220,0
20-04-2021,637,97,5760,0
21-04-2021,768,142,6386,0
22-04-2021,931,129,7187,0
23-04-2021,868,227,7828,0
24-04-2021,838,96,8569,1
25-04-2021,848,247,9170,0
26-04-2021,779,350,9599,0
27-04-2021,859,272,10186,0
28-04-2021,1251,210,11227,0
29-04-2021,1153,349,12031,0
30-04-2021,1235,533,12733,0
01-05-2021,978,307,13404,0
02-05-2021,1036,228,14212,0
03-05-2021,407,336,14283,0
04-05-2021,955,913,14325,0
05-05-2021,1396,326,15395,0
06-05-2021,956,228,16123,0
07-05-2021,1117,391,16849,0
08-05-2021,1053,316,17586,0
09-05-2021,1046,109,18523,0
10-05-2021,422,376,18569,0
11-05-2021,1056,1164,18461,0
