Date,Confirmed,Recovered,Active,Death
27-03-2020,1,0,1,0
28-03-2020,1,0,2,0
31-03-2020,1,0,3,0
02-04-2020,2,0,5,0
04-04-2020,1,0,6,0
06-04-2020,1,1,6,0
07-04-2020,1,0,7,0
08-04-2020,0,1,6,0
09-04-2020,1,0,7,0
14-04-2020,0,1,6,0
15-04-2020,0,1,5,0
21-04-2020,1,0,6,0
23-04-2020,1,0,7,0
24-04-2020,0,1,6,0
25-04-2020,3,0,9,0
29-04-2020,6,0,15,0
30-04-2020,0,3,12,0
04-05-2020,0,9,3,0
13-05-2020,0,1,2,0
14-05-2020,0,2,0,0
15-05-2020,1,0,1,0
17-05-2020,1,0,2,0
18-05-2020,5,0,7,0
21-05-2020,2,0,9,0
22-05-2020,1,0,10,0
23-05-2020,3,1,12,0
24-05-2020,3,0,15,0
25-05-2020,2,2,15,0
26-05-2020,4,0,19,0
27-05-2020,4,0,23,0
28-05-2020,1,0,24,0
29-05-2020,2,0,26,0
30-05-2020,4,0,30,0
31-05-2020,6,0,36,0
01-06-2020,5,0,41,0
02-06-2020,8,0,49,0
03-06-2020,5,2,52,0
04-06-2020,11,0,62,1
05-06-2020,2,0,64,0
06-06-2020,19,2,81,0
07-06-2020,9,3,87,0
08-06-2020,5,0,92,0
09-06-2020,5,3,94,0
10-06-2020,4,4,94,0
11-06-2020,8,2,100,0
12-06-2020,4,7,97,0
14-06-2020,1,0,98,0
15-06-2020,4,11,91,0
16-06-2020,4,1,94,0
17-06-2020,14,4,104,0
18-06-2020,13,8,109,0
19-06-2020,17,14,112,0
20-06-2020,24,2,134,0
21-06-2020,13,0,147,0
22-06-2020,13,0,160,0
23-06-2020,4,4,159,1
24-06-2020,18,1,176,0
25-06-2020,13,0,189,0
26-06-2020,16,10,195,0
27-06-2020,12,15,192,0
28-06-2020,10,0,202,0
29-06-2020,11,19,194,0
30-06-2020,12,0,206,0
01-07-2020,3,21,188,0
02-07-2020,9,0,197,0
03-07-2020,23,0,220,0
04-07-2020,16,41,195,0
05-07-2020,10,31,174,0
06-07-2020,11,10,175,0
07-07-2020,11,6,180,0
08-07-2020,8,23,165,0
09-07-2020,10,9,166,0
10-07-2020,28,0,194,0
11-07-2020,18,26,186,0
12-07-2020,5,0,191,0
13-07-2020,33,10,213,1
14-07-2020,23,4,232,0
15-07-2020,11,9,234,0
16-07-2020,42,17,259,0
17-07-2020,47,8,298,0
18-07-2020,53,1,350,0
19-07-2020,75,4,421,0
20-07-2020,79,1,499,0
21-07-2020,85,11,573,0
22-07-2020,133,13,692,0
23-07-2020,106,31,766,1
24-07-2020,133,54,845,0
25-07-2020,80,50,875,0
26-07-2020,74,70,879,0
27-07-2020,22,57,844,0
28-07-2020,95,70,869,0
29-07-2020,84,146,807,0
30-07-2020,22,83,746,0
31-07-2020,53,94,704,1
01-08-2020,35,53,685,1
02-08-2020,69,168,586,0
03-08-2020,57,40,603,0
04-08-2020,30,36,597,0
05-08-2020,30,49,577,1
06-08-2020,31,49,559,0
07-08-2020,36,32,563,0
08-08-2020,41,91,512,1
09-08-2020,106,43,575,0
10-08-2020,41,37,578,1
11-08-2020,25,32,571,0
12-08-2020,5,27,549,0
13-08-2020,74,73,550,0
14-08-2020,75,26,599,0
15-08-2020,91,42,646,1
16-08-2020,81,55,671,1
17-08-2020,48,89,630,0
18-08-2020,88,54,663,0
19-08-2020,77,41,698,1
20-08-2020,86,30,754,0
21-08-2020,82,54,782,0
22-08-2020,77,65,794,0
23-08-2020,133,22,904,1
24-08-2020,112,53,961,2
25-08-2020,87,57,989,2
26-08-2020,133,58,1064,0
27-08-2020,176,59,1181,0
28-08-2020,156,93,1244,0
29-08-2020,234,104,1373,1
30-08-2020,151,53,1470,1
31-08-2020,131,108,1492,1
01-09-2020,25,67,1450,0
02-09-2020,81,85,1446,0
03-09-2020,65,81,1430,0
04-09-2020,248,114,1563,1
05-09-2020,170,134,1595,4
06-09-2020,328,204,1718,1
07-09-2020,71,131,1658,0
08-09-2020,209,191,1676,0
09-09-2020,362,323,1715,0
10-09-2020,244,103,1856,0
11-09-2020,303,22,2137,0
12-09-2020,265,131,2271,0
13-09-2020,205,140,2334,2
14-09-2020,142,165,2308,3
15-09-2020,234,151,2391,0
16-09-2020,300,26,2664,1
17-09-2020,218,325,2554,3
18-09-2020,355,345,2563,1
19-09-2020,436,243,2753,3
20-09-2020,330,151,2931,1
21-09-2020,195,243,2883,0
22-09-2020,347,215,3013,2
23-09-2020,503,152,3361,3
24-09-2020,440,195,3606,0
25-09-2020,569,207,3966,2
26-09-2020,589,188,4367,0
27-09-2020,690,269,4787,1
