Date,Confirmed,Recovered,Active,Death
09-03-2020,1,0,1,0
10-03-2020,2,0,3,0
12-03-2020,1,0,4,0
21-03-2020,3,0,7,0
22-03-2020,4,0,11,0
23-03-2020,5,1,15,0
26-03-2020,9,1,23,0
27-03-2020,2,0,25,0
29-03-2020,8,0,33,0
30-03-2020,11,0,44,0
31-03-2020,1,2,43,0
01-04-2020,2,0,45,0
02-04-2020,1,0,46,0
03-04-2020,1,5,42,0
04-04-2020,1,7,36,0
05-04-2020,1,4,33,0
06-04-2020,0,1,32,0
07-04-2020,2,5,29,0
08-04-2020,4,1,32,0
09-04-2020,4,5,31,0
10-04-2020,2,6,27,0
11-04-2020,7,0,34,0
12-04-2020,1,0,35,0
13-04-2020,2,1,36,0
14-04-2020,4,0,40,0
15-04-2020,1,0,41,0
16-04-2020,4,1,44,0
18-04-2020,3,0,47,0
19-04-2020,1,3,45,0
20-04-2020,6,0,51,0
21-04-2020,10,9,52,0
22-04-2020,7,0,59,0
23-04-2020,0,1,58,0
24-04-2020,0,3,55,0
25-04-2020,1,2,54,0
26-04-2020,0,1,53,0
27-04-2020,1,6,48,0
28-04-2020,3,2,49,0
29-04-2020,1,3,47,0
30-04-2020,0,2,45,0
01-05-2020,0,4,41,0
02-05-2020,1,6,36,0
04-05-2020,0,19,17,0
07-05-2020,0,3,14,0
08-05-2020,0,10,4,0
10-05-2020,0,2,2,0
13-05-2020,1,0,3,0
14-05-2020,2,1,4,0
16-05-2020,0,2,2,0
17-05-2020,2,0,4,0
18-05-2020,3,0,7,0
19-05-2020,5,0,12,0
20-05-2020,3,1,14,0
21-05-2020,4,0,18,0
22-05-2020,12,0,30,0
23-05-2020,16,0,46,0
24-05-2020,12,0,58,0
25-05-2020,10,0,68,0
26-05-2020,8,0,75,1
27-05-2020,1,0,76,0
28-05-2020,10,1,85,0
29-05-2020,8,1,92,0
30-05-2020,15,1,106,0
31-05-2020,7,4,109,0
01-06-2020,0,1,108,0
02-06-2020,5,1,112,0
03-06-2020,2,2,112,0
04-06-2020,6,7,111,0
06-06-2020,12,5,118,0
07-06-2020,2,5,115,0
08-06-2020,4,0,119,0
09-06-2020,5,0,124,0
10-06-2020,4,13,115,0
11-06-2020,7,8,113,1
12-06-2020,3,1,114,1
13-06-2020,14,10,118,0
14-06-2020,4,2,120,0
15-06-2020,10,21,109,0
16-06-2020,7,1,115,0
17-06-2020,4,1,118,0
18-06-2020,4,4,117,1
19-06-2020,8,20,105,0
20-06-2020,4,2,107,0
21-06-2020,10,3,114,0
22-06-2020,3,14,103,0
23-06-2020,6,1,108,0
24-06-2020,17,10,115,0
25-06-2020,9,1,123,0
26-06-2020,13,1,135,0
27-06-2020,11,13,133,0
28-06-2020,26,1,158,0
29-06-2020,14,13,159,0
30-06-2020,26,2,183,0
01-07-2020,27,12,198,0
02-07-2020,9,6,201,0
03-07-2020,18,13,206,0
04-07-2020,35,14,227,0
05-07-2020,25,3,249,0
06-07-2020,11,10,250,0
07-07-2020,19,9,260,0
08-07-2020,22,2,280,0
09-07-2020,8,14,274,0
10-07-2020,23,14,283,0
11-07-2020,19,1,301,0
12-07-2020,17,19,299,0
13-07-2020,44,19,323,1
14-07-2020,12,45,290,0
15-07-2020,35,5,320,0
16-07-2020,23,8,334,1
17-07-2020,9,8,335,0
18-07-2020,39,37,337,0
19-07-2020,13,21,329,0
20-07-2020,48,3,374,0
21-07-2020,57,10,421,0
22-07-2020,43,0,464,0
23-07-2020,51,7,507,1
24-07-2020,18,108,417,0
25-07-2020,62,36,443,0
26-07-2020,47,70,420,0
27-07-2020,38,32,426,0
28-07-2020,43,15,454,0
29-07-2020,42,3,493,0
30-07-2020,39,47,485,0
31-07-2020,14,41,458,0
01-08-2020,5,35,428,0
02-08-2020,16,55,389,0
03-08-2020,37,25,401,0
04-08-2020,37,103,334,0
05-08-2020,61,53,341,1
06-08-2020,33,18,356,0
07-08-2020,13,29,339,1
08-08-2020,57,47,349,0
09-08-2020,41,11,379,0
10-08-2020,63,32,410,0
11-08-2020,30,27,412,1
12-08-2020,31,64,378,0
13-08-2020,27,25,380,0
14-08-2020,95,75,400,0
15-08-2020,52,32,420,0
16-08-2020,52,20,447,5
17-08-2020,77,22,501,1
18-08-2020,123,61,563,0
19-08-2020,126,48,641,0
20-08-2020,78,35,684,0
21-08-2020,78,44,717,1
22-08-2020,62,56,722,1
23-08-2020,143,88,777,0
24-08-2020,76,45,808,0
25-08-2020,150,99,859,0
26-08-2020,128,49,937,1
27-08-2020,102,119,917,3
28-08-2020,135,134,917,1
29-08-2020,95,94,917,1
30-08-2020,112,113,914,2
31-08-2020,74,88,900,0
01-09-2020,77,97,880,0
02-09-2020,142,127,895,0
