Date,Confirmed,Recovered,Active,Death
03-02-2020,1,0,1,0
16-02-2020,0,1,0,0
16-03-2020,1,0,1,0
19-03-2020,1,0,2,0
20-03-2020,6,0,8,0
21-03-2020,6,0,14,0
22-03-2020,5,0,19,0
23-03-2020,19,0,38,0
24-03-2020,6,0,44,0
26-03-2020,3,0,47,0
27-03-2020,34,0,81,0
28-03-2020,1,0,82,0
29-03-2020,7,0,89,0
30-03-2020,17,0,106,0
31-03-2020,2,0,108,0
01-04-2020,12,0,120,0
02-04-2020,8,0,128,0
03-04-2020,7,4,131,0
04-04-2020,6,0,137,0
05-04-2020,1,0,138,0
06-04-2020,9,0,147,0
07-04-2020,4,1,150,0
08-04-2020,1,0,151,0
09-04-2020,4,0,155,0
10-04-2020,3,18,140,0
11-04-2020,2,9,133,0
12-04-2020,0,28,105,0
13-04-2020,0,12,93,0
14-04-2020,1,6,88,0
15-04-2020,0,4,84,0
16-04-2020,1,24,61,0
17-04-2020,0,6,55,0
18-04-2020,0,2,53,0
19-04-2020,1,8,46,0
20-04-2020,0,19,27,0
21-04-2020,3,4,26,0
23-04-2020,0,6,20,0
24-04-2020,3,5,18,0
25-04-2020,0,2,16,0
26-04-2020,0,1,15,0
28-04-2020,1,2,14,0
29-04-2020,1,3,12,0
30-04-2020,1,2,11,0
01-05-2020,0,4,7,0
03-05-2020,0,1,6,0
04-05-2020,0,3,3,0
07-05-2020,0,2,1,0
10-05-2020,0,1,0,0
11-05-2020,4,0,4,0
14-05-2020,10,0,14,0
15-05-2020,1,0,15,0
17-05-2020,1,0,16,0
18-05-2020,2,0,18,0
20-05-2020,1,1,18,0
21-05-2020,1,0,19,0
22-05-2020,7,0,26,0
23-05-2020,4,1,29,0
24-05-2020,5,2,32,0
25-05-2020,14,6,40,0
26-05-2020,3,2,41,0
27-05-2020,10,2,49,0
28-05-2020,18,0,67,0
29-05-2020,4,1,70,0
30-05-2020,3,0,73,0
31-05-2020,10,1,82,0
01-06-2020,14,0,96,0
02-06-2020,9,7,98,0
03-06-2020,3,4,97,0
04-06-2020,12,0,109,0
05-06-2020,1,7,103,0
06-06-2020,10,1,112,0
07-06-2020,3,6,109,0
08-06-2020,8,7,110,0
09-06-2020,2,0,112,0
10-06-2020,0,11,101,0
11-06-2020,10,5,106,0
12-06-2020,4,2,108,0
13-06-2020,9,6,111,0
14-06-2020,6,1,116,0
15-06-2020,3,4,115,0
16-06-2020,2,8,109,0
17-06-2020,9,0,118,0
18-06-2020,3,11,110,0
19-06-2020,4,4,110,0
20-06-2020,7,2,115,0
21-06-2020,6,2,119,0
22-06-2020,9,9,119,0
24-06-2020,6,0,125,0
25-06-2020,4,8,121,0
