Date,Confirmed,Recovered,Active,Death
10-03-2020,2,0,2,0
24-03-2020,1,0,3,0
28-03-2020,0,2,1,0
03-04-2020,0,1,0,0
22-04-2020,1,0,1,0
23-04-2020,2,0,3,0
25-04-2020,3,0,6,0
26-04-2020,5,0,11,0
27-04-2020,6,0,17,0
04-05-2020,0,12,5,0
06-05-2020,0,5,0,0
12-05-2020,1,0,1,0
13-05-2020,1,0,2,0
18-05-2020,2,0,4,0
21-05-2020,3,1,6,0
22-05-2020,2,0,8,0
23-05-2020,2,1,9,0
25-05-2020,2,0,11,0
26-05-2020,6,1,16,0
28-05-2020,3,0,19,0
29-05-2020,1,0,20,0
30-05-2020,1,1,20,0
01-06-2020,0,3,17,0
02-06-2020,6,7,16,0
03-06-2020,8,3,21,0
04-06-2020,5,0,26,0
05-06-2020,1,0,27,0
06-06-2020,2,0,29,0
07-06-2020,3,1,31,0
08-06-2020,3,0,34,0
09-06-2020,8,2,40,0
10-06-2020,3,2,41,0
11-06-2020,2,0,43,0
12-06-2020,3,1,45,0
13-06-2020,1,2,44,0
14-06-2020,3,2,45,0
15-06-2020,10,0,55,0
16-06-2020,4,3,56,0
17-06-2020,4,3,57,0
18-06-2020,11,2,66,0
19-06-2020,7,6,67,0
20-06-2020,11,0,78,0
21-06-2020,10,3,85,0
22-06-2020,13,4,94,0
23-06-2020,8,12,90,0
24-06-2020,7,3,94,0
25-06-2020,2,2,94,0
26-06-2020,18,2,110,0
27-06-2020,15,7,118,0
28-06-2020,5,6,117,0
29-06-2020,0,8,109,0
30-06-2020,3,6,106,0
01-07-2020,4,6,104,0
02-07-2020,9,1,112,0
03-07-2020,14,16,110,0
04-07-2020,6,10,106,0
05-07-2020,8,5,109,0
06-07-2020,6,11,104,0
07-07-2020,3,1,106,0
08-07-2020,17,0,123,0
09-07-2020,7,8,122,0
10-07-2020,7,9,120,0
11-07-2020,15,6,129,0
12-07-2020,12,1,140,0
13-07-2020,10,12,138,0
14-07-2020,25,5,158,0
15-07-2020,25,13,170,0
16-07-2020,13,7,176,0
17-07-2020,39,6,209,0
18-07-2020,16,6,219,0
19-07-2020,20,9,230,0
20-07-2020,46,17,259,0
21-07-2020,39,10,288,0
22-07-2020,51,12,327,0
23-07-2020,80,25,382,0
24-07-2020,50,74,358,0
25-07-2020,77,49,386,0
26-07-2020,54,37,403,0
27-07-2020,59,13,448,1
28-07-2020,118,20,546,0
29-07-2020,29,28,547,0
30-07-2020,29,49,527,0
31-07-2020,89,65,551,0
01-08-2020,47,57,541,0
02-08-2020,70,39,572,0
03-08-2020,35,55,552,0
04-08-2020,23,107,468,0
05-08-2020,51,47,472,0
06-08-2020,40,54,458,0
07-08-2020,37,71,424,0
08-08-2020,15,60,379,0
09-08-2020,139,56,462,0
10-08-2020,40,55,447,0
11-08-2020,24,47,424,0
12-08-2020,76,23,476,1
13-08-2020,53,17,512,0
14-08-2020,101,48,565,0
15-08-2020,39,45,559,0
16-08-2020,100,61,598,0
17-08-2020,89,46,641,0
18-08-2020,93,48,686,0
19-08-2020,203,54,835,0
20-08-2020,124,29,930,0
21-08-2020,136,93,973,0
22-08-2020,104,92,985,0
23-08-2020,106,72,1019,0
24-08-2020,89,63,1044,1
25-08-2020,86,67,1063,0
26-08-2020,137,59,1141,0
27-08-2020,189,74,1256,0
28-08-2020,126,82,1300,0
29-08-2020,139,120,1319,0
30-08-2020,223,72,1470,0
31-08-2020,86,90,1466,0
01-09-2020,62,115,1413,0
02-09-2020,145,69,1489,0
03-09-2020,160,117,1532,0
04-09-2020,178,117,1593,0
05-09-2020,119,121,1591,0
06-09-2020,195,130,1656,0
07-09-2020,154,115,1695,0
08-09-2020,168,133,1730,0
09-09-2020,196,91,1835,0
10-09-2020,217,106,1946,0
11-09-2020,221,89,2078,0
12-09-2020,166,138,2106,0
13-09-2020,196,125,2177,0
14-09-2020,122,121,2178,0
15-09-2020,192,138,2232,0
16-09-2020,187,131,2288,0
17-09-2020,204,120,2372,0
18-09-2020,225,112,2485,0
19-09-2020,263,119,2629,0
20-09-2020,274,121,2777,5
21-09-2020,156,136,2797,0
22-09-2020,169,114,2852,0
23-09-2020,262,275,2839,0
24-09-2020,341,130,3050,0
25-09-2020,322,193,3175,4
26-09-2020,389,163,3401,0
27-09-2020,426,123,3703,1
28-09-2020,213,122,3791,3
29-09-2020,336,157,3968,2
30-09-2020,442,128,4281,1
01-10-2020,340,148,4473,0
02-10-2020,432,174,4727,4
03-10-2020,342,202,4867,0
04-10-2020,474,318,5023,0
05-10-2020,354,400,4975,2
06-10-2020,427,361,5038,3
