Date,Confirmed,Recovered,Active,Death
30-01-2020,1,0,1,0
02-02-2020,1,0,2,0
03-02-2020,1,0,3,0
16-02-2020,0,2,1,0
20-02-2020,0,1,0,0
09-03-2020,6,0,6,0
10-03-2020,8,0,14,0
12-03-2020,2,0,16,0
13-03-2020,3,0,19,0
15-03-2020,2,0,21,0
16-03-2020,3,0,24,0
19-03-2020,1,0,25,0
20-03-2020,12,0,37,0
21-03-2020,12,0,49,0
22-03-2020,15,0,64,0
23-03-2020,28,1,91,0
24-03-2020,14,0,105,0
25-03-2020,9,2,112,0
26-03-2020,19,6,125,0
27-03-2020,39,0,164,0
28-03-2020,6,4,165,1
29-03-2020,20,4,181,0
30-03-2020,32,0,213,0
31-03-2020,7,4,215,1
01-04-2020,24,2,237,0
02-04-2020,21,2,256,0
03-04-2020,9,14,251,0
04-04-2020,11,8,254,0
05-04-2020,8,6,256,0
06-04-2020,13,3,266,0
07-04-2020,8,12,262,0
08-04-2020,9,13,258,0
09-04-2020,12,13,257,0
10-04-2020,7,27,237,0
11-04-2020,10,19,228,0
12-04-2020,2,36,194,0
13-04-2020,3,19,178,0
14-04-2020,8,13,173,0
15-04-2020,1,7,167,0
16-04-2020,7,27,147,0
17-04-2020,1,10,138,0
18-04-2020,4,2,140,0
19-04-2020,2,13,129,0
20-04-2020,6,21,114,0
21-04-2020,19,16,117,0
22-04-2020,11,1,127,0
23-04-2020,10,8,129,0
24-04-2020,3,15,116,1
25-04-2020,7,7,116,0
26-04-2020,11,4,123,0
27-04-2020,13,13,123,0
28-04-2020,4,4,123,0
29-04-2020,10,10,123,0
30-04-2020,2,14,111,0
01-05-2020,0,9,102,0
02-05-2020,2,8,96,0
03-05-2020,0,1,95,0
04-05-2020,0,61,34,0
05-05-2020,3,0,37,0
06-05-2020,0,7,30,0
07-05-2020,0,5,25,0
08-05-2020,1,10,16,0
09-05-2020,2,1,17,0
10-05-2020,7,4,20,0
11-05-2020,7,0,27,0
12-05-2020,5,0,32,0
13-05-2020,10,1,41,0
14-05-2020,26,3,64,0
15-05-2020,16,0,80,0
16-05-2020,11,4,87,0
17-05-2020,14,0,101,0
18-05-2020,29,0,130,0
19-05-2020,12,0,142,0
20-05-2020,24,5,161,0
21-05-2020,24,8,177,0
22-05-2020,42,2,216,1
23-05-2020,62,3,275,0
24-05-2020,53,5,322,1
25-05-2020,49,12,359,0
26-05-2020,67,10,415,1
27-05-2020,40,10,445,0
28-05-2020,85,3,526,1
29-05-2020,62,10,577,1
30-05-2020,58,10,624,1
31-05-2020,61,15,670,0
01-06-2020,57,18,708,1
02-06-2020,86,19,774,1
03-06-2020,82,24,832,0
04-06-2020,94,39,884,3
05-06-2020,111,22,972,0
06-06-2020,108,50,1029,1
07-06-2020,107,41,1095,0
08-06-2020,91,11,1174,1
09-06-2020,91,34,1231,0
10-06-2020,65,57,1238,1
11-06-2020,83,62,1258,1
12-06-2020,78,32,1303,1
13-06-2020,85,46,1342,0
14-06-2020,54,56,1340,0
15-06-2020,82,73,1347,1
16-06-2020,79,60,1366,0
17-06-2020,75,90,1351,0
18-06-2020,97,89,1358,1
19-06-2020,118,96,1380,0
20-06-2020,127,57,1450,0
21-06-2020,133,93,1490,0
22-06-2020,138,88,1540,0
23-06-2020,141,60,1620,1
24-06-2020,152,81,1691,0
25-06-2020,123,53,1761,0
26-06-2020,150,65,1846,0
27-06-2020,195,102,1939,0
28-06-2020,118,42,2015,0
29-06-2020,122,79,2057,1
30-06-2020,131,75,2112,1
01-07-2020,151,132,2130,1
02-07-2020,160,202,2088,0
03-07-2020,211,201,2098,0
