Date,Confirmed,Recovered,Active,Death
16-03-2020,2,0,2,0
22-03-2020,2,0,4,0
24-03-2020,1,0,5,0
26-03-2020,3,0,8,0
28-03-2020,1,0,9,0
29-03-2020,1,0,10,0
01-04-2020,2,0,12,0
02-04-2020,1,1,12,0
05-04-2020,0,1,11,0
06-04-2020,2,0,13,0
07-04-2020,1,0,14,0
09-04-2020,2,2,14,0
10-04-2020,2,0,16,0
12-04-2020,0,6,10,0
14-04-2020,0,1,9,0
16-04-2020,0,1,8,0
17-04-2020,0,1,7,0
19-04-2020,0,1,6,0
21-04-2020,1,0,7,0
22-04-2020,1,0,8,0
23-04-2020,0,1,7,0
24-04-2020,0,3,3,1
26-04-2020,0,1,2,0
27-04-2020,1,1,2,0
30-04-2020,1,1,2,0
04-05-2020,0,2,0,0
09-05-2020,2,0,2,0
10-05-2020,1,0,3,0
11-05-2020,1,0,4,0
12-05-2020,3,0,7,0
13-05-2020,3,0,10,0
14-05-2020,5,0,15,0
15-05-2020,4,0,19,0
16-05-2020,2,0,21,0
17-05-2020,4,0,25,0
18-05-2020,1,0,26,0
19-05-2020,3,0,29,0
20-05-2020,4,0,33,0
21-05-2020,5,1,37,0
22-05-2020,4,2,39,0
23-05-2020,8,0,47,0
24-05-2020,5,0,52,0
25-05-2020,0,1,51,0
26-05-2020,5,3,53,0
27-05-2020,0,6,47,0
28-05-2020,8,1,54,0
29-05-2020,5,1,58,0
30-05-2020,0,4,54,0
31-05-2020,3,2,55,0
01-06-2020,14,7,62,0
02-06-2020,15,1,76,0
03-06-2020,11,0,87,0
04-06-2020,8,8,86,1
05-06-2020,18,0,104,0
06-06-2020,12,0,115,1
07-06-2020,27,1,141,0
08-06-2020,14,0,155,0
09-06-2020,6,0,161,0
10-06-2020,7,0,168,0
11-06-2020,10,2,176,0
12-06-2020,14,0,190,0
13-06-2020,15,7,198,0
14-06-2020,3,5,196,0
15-06-2020,6,10,192,0
16-06-2020,15,6,201,0
17-06-2020,11,0,212,0
18-06-2020,4,2,214,0
19-06-2020,18,15,217,0
20-06-2020,5,1,221,0
21-06-2020,10,28,203,0
22-06-2020,17,23,197,0
23-06-2020,11,15,193,0
24-06-2020,10,7,196,0
25-06-2020,6,12,190,0
26-06-2020,16,18,188,0
27-06-2020,47,19,216,0
28-06-2020,5,0,221,0
29-06-2020,14,7,227,1
30-06-2020,32,22,237,0
01-07-2020,34,14,257,0
02-07-2020,24,56,225,0
03-07-2020,35,10,250,0
04-07-2020,37,7,280,0
05-07-2020,26,28,278,0
06-07-2020,35,13,299,1
07-07-2020,63,10,352,0
08-07-2020,46,12,386,0
09-07-2020,55,7,434,0
10-07-2020,41,18,457,0
11-07-2020,51,15,493,0
12-07-2020,42,16,519,0
13-07-2020,47,28,538,0
14-07-2020,58,12,584,0
15-07-2020,18,42,560,0
16-07-2020,42,37,565,0
17-07-2020,25,31,559,0
18-07-2020,19,26,552,0
19-07-2020,25,0,577,0
20-07-2020,50,32,595,0
21-07-2020,61,53,603,0
22-07-2020,61,52,612,0
23-07-2020,89,30,671,0
24-07-2020,58,24,705,0
25-07-2020,68,185,588,0
26-07-2020,56,121,522,1
27-07-2020,86,88,520,0
28-07-2020,112,34,598,0
29-07-2020,87,34,649,1
30-07-2020,32,12,669,0
31-07-2020,75,9,734,0
01-08-2020,141,36,837,1
02-08-2020,126,44,919,0
03-08-2020,85,38,966,0
04-08-2020,131,94,1003,0
05-08-2020,167,77,1093,0
06-08-2020,129,114,1108,0
07-08-2020,143,40,1210,1
08-08-2020,114,165,1159,0
09-08-2020,170,109,1220,0
10-08-2020,255,53,1421,1
11-08-2020,242,51,1612,0
12-08-2020,261,107,1766,0
13-08-2020,202,61,1905,1
14-08-2020,198,424,1678,1
15-08-2020,362,0,2040,0
16-08-2020,221,82,2179,0
17-08-2020,306,130,2354,1
18-08-2020,242,194,2402,0
19-08-2020,322,263,2461,0
20-08-2020,356,108,2709,0
21-08-2020,335,319,2720,4
22-08-2020,395,240,2874,1
23-08-2020,186,100,2960,0
24-08-2020,169,116,3012,1
25-08-2020,454,240,3224,2
26-08-2020,352,254,3322,0
27-08-2020,230,538,3014,0
28-08-2020,298,345,2964,2
29-08-2020,379,372,2970,1
30-08-2020,195,328,2837,0
31-08-2020,177,253,2761,0
01-09-2020,191,286,2666,0
02-09-2020,146,317,2495,0
03-09-2020,91,210,2376,0
04-09-2020,178,627,1925,2
05-09-2020,249,338,1836,0
06-09-2020,324,202,1958,0
07-09-2020,187,202,1943,0
08-09-2020,358,159,2142,0
09-09-2020,201,150,2193,0
10-09-2020,330,119,2397,7
11-09-2020,390,111,2675,1
12-09-2020,310,201,2783,1
13-09-2020,378,202,2959,0
14-09-2020,482,261,3177,3
15-09-2020,348,303,3221,1
16-09-2020,298,257,3260,2
17-09-2020,351,214,3396,1
18-09-2020,297,265,3425,3
19-09-2020,534,326,3633,0
20-09-2020,483,388,3725,3
21-09-2020,349,486,3580,8
22-09-2020,444,468,3554,2
23-09-2020,512,372,3692,2
24-09-2020,763,513,3942,0
25-09-2020,784,588,4137,1
26-09-2020,826,486,4474,3
27-09-2020,915,399,4990,0
28-09-2020,405,421,4971,3
29-09-2020,1040,519,5488,4
30-09-2020,977,601,5862,2
01-10-2020,968,322,6508,0
02-10-2020,1016,951,6573,0
03-10-2020,973,641,6905,0
04-10-2020,792,715,6976,6
05-10-2020,606,757,6822,2
06-10-2020,854,541,7131,4
07-10-2020,1350,743,7733,5
08-10-2020,1024,876,7881,0
09-10-2020,1174,909,8142,4
10-10-2020,1632,1061,8712,1
11-10-2020,1451,1059,9099,5
12-10-2020,740,915,8924,0
13-10-2020,1139,772,9288,3
14-10-2020,1013,1519,8776,6
15-10-2020,447,1010,8212,0
16-10-2020,1025,432,8805,0
17-10-2020,1519,513,9807,4
18-10-2020,1399,805,10398,3
19-10-2020,910,298,11008,2
20-10-2020,786,1093,10696,5
21-10-2020,668,832,10532,0
22-10-2020,897,731,10693,5
23-10-2020,1375,324,11744,0
24-10-2020,719,207,12255,1
25-10-2020,653,1052,11850,6
26-10-2020,853,1002,11700,1
27-10-2020,706,993,11412,1
28-10-2020,548,1028,10931,1
29-10-2020,589,1300,10215,5
30-10-2020,761,1106,9867,3
31-10-2020,769,994,9640,2
01-11-2020,522,890,9271,1
02-11-2020,467,945,8792,1
03-11-2020,467,945,8312,1
04-11-2020,784,655,8438,3
05-11-2020,627,853,8207,5
06-11-2020,761,1180,7785,3
07-11-2020,642,1343,7081,3
08-11-2020,540,906,6712,3
09-11-2020,548,560,6699,1
10-11-2020,685,545,6838,1
11-11-2020,527,661,6702,2
12-11-2020,617,569,6749,1
13-11-2020,588,522,6812,3
14-11-2020,673,617,6862,6
15-11-2020,558,725,6692,3
16-11-2020,496,684,6503,1
17-11-2020,776,497,6776,6
18-11-2020,507,661,6619,3
19-11-2020,862,522,6951,8
20-11-2020,1054,740,7264,1
21-11-2020,764,740,7285,2
22-11-2020,796,785,7293,3
23-11-2020,1023,527,7788,1
24-11-2020,852,617,8022,1
25-11-2020,664,588,8094,4
26-11-2020,719,789,8023,1
27-11-2020,612,779,7852,4
28-11-2020,680,766,7762,4
29-11-2020,721,776,7704,3
30-11-2020,611,507,7806,2
01-12-2020,886,862,7828,2
02-12-2020,822,1054,7595,1
03-12-2020,714,764,7542,3
04-12-2020,943,796,7682,7
05-12-2020,920,1023,7577,2
06-12-2020,664,852,7386,3
07-12-2020,541,864,7060,3
08-12-2020,694,719,7035,0
09-12-2020,709,612,7125,7
10-12-2020,700,680,7142,3
11-12-2020,619,790,6965,6
12-12-2020,765,611,7115,4
13-12-2020,649,886,6873,5
14-12-2020,441,822,6491,1
15-12-2020,377,714,6148,6
16-12-2020,437,943,5635,7
17-12-2020,515,520,5627,3
18-12-2020,485,664,5443,5
19-12-2020,657,664,5436,0
20-12-2020,662,641,5454,3
21-12-2020,626,694,5385,1
22-12-2020,565,709,5233,8
23-12-2020,500,570,5159,4
24-12-2020,482,419,5221,1
25-12-2020,466,508,5177,2
26-12-2020,513,465,5221,4
27-12-2020,517,503,5231,4
28-12-2020,504,629,5104,2
29-12-2020,610,475,5233,6
30-12-2020,407,609,5029,2
31-12-2020,388,547,4866,4
01-01-2021,511,480,4894,3
02-01-2021,580,457,5015,2
03-01-2021,522,696,4839,2
04-01-2021,406,522,4721,2
05-01-2021,385,495,4610,0
06-01-2021,432,421,4618,3
07-01-2021,435,545,4506,2
08-01-2021,419,569,4354,2
09-01-2021,523,478,4399,0
10-01-2021,441,511,4326,3
11-01-2021,388,457,4257,0
12-01-2021,400,297,4358,2
14-01-2021,712,395,4672,2
13-01-2021,409,447,4633,1
15-01-2021,478,699,4410,2
16-01-2021,489,456,4443,0
17-01-2021,479,515,4407,0
18-01-2021,357,488,4274,2
19-01-2021,509,367,4414,2
20-01-2021,537,540,4408,3
21-01-2021,657,572,4491,1
22-01-2021,582,602,4469,2
23-01-2021,535,575,4428,1
24-01-2021,403,570,4260,1
25-01-2021,220,383,4094,3
26-01-2021,511,261,4343,1
27-01-2021,404,530,4215,2
28-01-2021,413,387,4241,0
29-01-2021,414,799,3854,1
30-01-2021,423,422,3854,1
31-01-2021,482,387,3949,0
01-02-2021,516,517,3947,1
02-02-2021,454,520,3880,1
03-02-2021,383,554,3708,1
04-02-2021,489,724,3472,1
05-02-2021,605,538,3537,2
06-02-2021,652,571,3617,1
07-02-2021,671,670,3618,0
08-02-2021,503,728,3393,0
09-02-2021,449,645,3195,1
10-02-2021,421,318,3297,1
11-02-2021,413,589,3121,0
12-02-2021,529,424,3226,0
13-02-2021,308,519,3012,3
14-02-2021,630,315,3327,0
15-02-2021,560,649,3237,1
16-02-2021,345,570,3008,4
17-02-2021,332,420,2920,0
18-02-2021,493,315,3096,2
19-02-2021,476,578,2993,1
20-02-2021,529,596,2923,2
21-02-2021,346,535,2733,0
22-02-2021,229,391,2569,1
23-02-2021,355,272,2651,1
24-02-2021,329,351,2628,1
25-02-2021,270,408,2487,3
26-02-2021,278,213,2551,0
27-02-2021,388,368,2569,2
28-02-2021,354,387,2536,0
01-03-2021,241,377,2399,1
02-03-2021,344,288,2453,2
03-03-2021,280,405,2327,1
04-03-2021,171,322,2175,1
05-03-2021,298,196,2277,0
06-03-2021,286,342,2220,1
07-03-2021,176,286,2109,1
08-03-2021,132,249,1990,2
09-03-2021,142,246,1884,2
10-03-2021,283,211,1956,0
11-03-2021,179,265,1869,1
12-03-2021,205,204,1870,0
13-03-2021,173,243,1799,1
14-03-2021,151,167,1782,1
15-03-2021,124,171,1735,0
16-03-2021,102,277,1558,2
17-03-2021,163,177,1541,2
18-03-2021,146,175,1510,2
19-03-2021,155,147,1515,2
20-03-2021,146,221,1440,0
21-03-2021,139,136,1443,0
22-03-2021,81,154,1369,1
23-03-2021,92,95,1364,2
24-03-2021,173,99,1436,2
25-03-2021,193,185,1443,1
26-03-2021,103,220,1326,0
27-03-2021,140,113,1353,0
28-03-2021,207,166,1391,3
29-03-2021,134,204,1320,1
30-03-2021,250,147,1422,1
31-03-2021,206,255,1373,0
01-04-2021,170,197,1346,0
02-04-2021,224,160,1410,0
03-04-2021,191,173,1428,0
04-04-2021,240,203,1464,1
