Date,Confirmed,Recovered,Active,Death
24-03-2020,1,0,1,0
25-03-2020,2,0,3,0
28-03-2020,1,0,4,0
29-03-2020,1,0,5,0
01-04-2020,1,0,6,0
04-04-2020,1,0,7,0
11-04-2020,0,4,3,0
13-04-2020,1,0,4,0
14-04-2020,0,2,2,0
21-04-2020,4,0,6,0
22-04-2020,0,1,5,0
27-04-2020,1,0,6,0
30-04-2020,0,4,2,0
04-05-2020,0,1,1,0
10-05-2020,0,1,0,0
11-05-2020,1,0,1,0
13-05-2020,2,0,3,0
14-05-2020,3,0,6,0
15-05-2020,1,0,7,0
16-05-2020,2,0,9,0
17-05-2020,2,0,11,0
18-05-2020,1,0,12,0
19-05-2020,1,0,13,0
20-05-2020,7,0,20,0
21-05-2020,1,0,21,0
22-05-2020,5,0,26,0
23-05-2020,19,0,45,0
24-05-2020,4,0,49,0
25-05-2020,5,0,54,0
26-05-2020,29,2,81,0
27-05-2020,8,0,89,0
28-05-2020,16,0,105,0
29-05-2020,14,0,119,0
30-05-2020,9,0,128,0
31-05-2020,12,0,140,0
01-06-2020,2,1,141,0
02-06-2020,5,0,146,0
03-06-2020,5,0,151,0
04-06-2020,7,13,144,1
05-06-2020,40,0,183,0
06-06-2020,11,30,164,0
07-06-2020,6,7,163,0
08-06-2020,1,2,162,0
09-06-2020,14,0,176,0
10-06-2020,6,0,182,0
11-06-2020,13,13,182,0
12-06-2020,5,6,181,0
13-06-2020,8,9,180,0
14-06-2020,6,27,159,0
15-06-2020,7,12,154,0
16-06-2020,6,9,151,0
17-06-2020,6,24,133,0
18-06-2020,14,11,136,0
19-06-2020,10,13,133,0
20-06-2020,23,10,146,0
21-06-2020,15,1,160,0
22-06-2020,16,12,164,0
23-06-2020,27,0,191,0
24-06-2020,16,1,206,0
25-06-2020,24,5,225,0
26-06-2020,23,2,246,0
27-06-2020,25,5,266,0
28-06-2020,4,4,266,0
29-06-2020,12,3,275,0
30-06-2020,17,7,285,0
01-07-2020,17,11,291,0
02-07-2020,18,54,255,0
03-07-2020,14,68,201,0
04-07-2020,29,45,185,0
05-07-2020,29,8,206,0
06-07-2020,8,33,181,0
07-07-2020,29,23,187,0
08-07-2020,25,9,203,0
09-07-2020,50,17,236,0
10-07-2020,28,8,256,0
11-07-2020,48,7,297,0
12-07-2020,59,16,340,0
13-07-2020,19,25,334,0
14-07-2020,26,49,311,0
15-07-2020,19,55,275,0
16-07-2020,25,72,228,0
17-07-2020,31,0,259,0
18-07-2020,49,27,281,0
19-07-2020,81,11,351,0
20-07-2020,49,94,306,0
21-07-2020,46,34,318,0
22-07-2020,34,15,337,0
23-07-2020,51,45,343,0
24-07-2020,58,63,338,0
25-07-2020,35,24,348,1
26-07-2020,42,5,385,0
27-07-2020,41,9,417,0
28-07-2020,86,40,463,0
29-07-2020,49,19,493,0
30-07-2020,4,36,461,0
31-07-2020,83,111,433,0
01-08-2020,47,42,438,0
02-08-2020,38,29,447,0
03-08-2020,59,67,438,0
04-08-2020,50,56,432,0
05-08-2020,41,13,460,0
06-08-2020,136,41,555,0
07-08-2020,123,33,645,0
08-08-2020,39,46,638,0
09-08-2020,78,80,636,0
10-08-2020,147,102,681,0
11-08-2020,141,40,782,0
12-08-2020,81,86,777,0
13-08-2020,202,67,912,0
14-08-2020,180,91,1001,0
15-08-2020,74,92,983,0
16-08-2020,29,107,905,0
17-08-2020,137,54,989,0
18-08-2020,51,82,957,1
19-08-2020,65,103,919,0
20-08-2020,65,91,893,0
21-08-2020,83,144,832,0
22-08-2020,184,89,927,0
23-08-2020,39,250,716,0
24-08-2020,99,120,695,0
25-08-2020,152,119,728,0
26-08-2020,86,66,748,0
27-08-2020,195,56,887,0
28-08-2020,127,93,921,0
29-08-2020,133,74,980,0
30-08-2020,45,64,961,0
31-08-2020,42,114,889,0
01-09-2020,42,153,778,0
02-09-2020,30,98,710,0
03-09-2020,58,68,699,1
04-09-2020,42,93,648,0
05-09-2020,100,112,636,0
06-09-2020,162,95,703,0
07-09-2020,118,95,726,0
08-09-2020,226,59,893,0
09-09-2020,131,87,937,0
10-09-2020,194,33,1098,0
11-09-2020,109,46,1160,1
12-09-2020,184,39,1303,2
13-09-2020,233,66,1469,1
14-09-2020,175,93,1548,3
15-09-2020,136,120,1563,1
16-09-2020,220,117,1660,6
17-09-2020,241,114,1787,0
18-09-2020,268,118,1936,1
19-09-2020,349,130,2153,2
20-09-2020,289,145,2296,1
21-09-2020,167,171,2289,3
22-09-2020,242,235,2295,1
23-09-2020,278,150,2423,0
24-09-2020,353,114,2662,0
25-09-2020,419,223,2858,0
26-09-2020,547,223,3182,0
27-09-2020,488,206,3462,2
28-09-2020,378,200,3640,0
29-09-2020,374,269,3743,2
30-09-2020,631,206,4160,8
01-10-2020,513,113,4560,0
02-10-2020,633,221,4972,0
03-10-2020,496,186,5282,0
04-10-2020,496,217,5560,1
05-10-2020,281,327,5514,0
06-10-2020,520,276,5758,0
07-10-2020,650,337,6071,0
