Date,Confirmed,Recovered,Active,Death
09-03-2020,5,0,5,0
10-03-2020,4,0,9,0
23-03-2020,1,0,10,0
25-03-2020,2,0,12,0
26-03-2020,0,1,11,0
29-03-2020,0,4,7,0
31-03-2020,0,2,5,0
02-04-2020,1,0,6,0
03-04-2020,0,1,5,0
05-04-2020,1,0,6,0
06-04-2020,1,0,7,0
08-04-2020,1,0,8,0
12-04-2020,1,0,9,0
13-04-2020,0,3,6,0
24-04-2020,0,3,3,0
29-04-2020,0,1,2,0
30-04-2020,0,1,1,0
06-05-2020,0,1,0,0
12-05-2020,1,0,1,0
14-05-2020,1,0,2,0
18-05-2020,2,0,4,0
19-05-2020,1,0,5,0
20-05-2020,2,0,7,0
22-05-2020,1,0,8,0
24-05-2020,2,0,10,0
25-05-2020,3,0,13,0
27-05-2020,3,0,16,0
28-05-2020,6,0,22,0
29-05-2020,5,0,26,1
31-05-2020,4,2,28,0
01-06-2020,4,1,31,0
02-06-2020,1,1,31,0
03-06-2020,2,0,33,0
04-06-2020,14,1,46,0
05-06-2020,11,0,57,0
06-06-2020,9,0,66,0
07-06-2020,13,1,78,0
08-06-2020,3,0,81,0
09-06-2020,7,6,82,0
10-06-2020,3,6,79,0
11-06-2020,5,0,84,0
12-06-2020,7,0,91,0
13-06-2020,1,1,91,0
14-06-2020,2,0,93,0
15-06-2020,11,0,104,0
16-06-2020,6,4,106,0
17-06-2020,1,5,102,0
18-06-2020,11,3,110,0
19-06-2020,9,0,119,0
20-06-2020,17,12,124,0
21-06-2020,8,4,128,0
22-06-2020,4,0,132,0
23-06-2020,27,6,153,0
24-06-2020,25,1,177,0
25-06-2020,13,9,181,0
26-06-2020,4,0,185,0
27-06-2020,6,17,174,0
28-06-2020,3,2,175,0
29-06-2020,13,0,188,0
30-06-2020,1,0,189,0
01-07-2020,6,5,190,0
02-07-2020,27,0,217,0
03-07-2020,7,29,195,0
04-07-2020,22,20,197,0
05-07-2020,3,9,191,0
06-07-2020,26,27,190,0
07-07-2020,12,19,182,0
08-07-2020,7,4,185,0
09-07-2020,7,7,185,0
10-07-2020,32,0,217,0
11-07-2020,54,43,228,0
12-07-2020,39,25,242,0
13-07-2020,47,2,287,0
14-07-2020,3,0,290,0
15-07-2020,64,20,334,0
16-07-2020,39,18,355,0
17-07-2020,87,1,441,0
18-07-2020,28,18,451,0
19-07-2020,35,17,469,0
20-07-2020,3,18,454,0
21-07-2020,40,0,494,0
22-07-2020,49,38,505,0
23-07-2020,27,0,532,0
24-07-2020,23,81,474,0
25-07-2020,52,150,376,0
26-07-2020,91,48,419,0
27-07-2020,17,49,386,0
28-07-2020,63,28,421,0
29-07-2020,54,41,434,0
30-07-2020,59,81,412,0
31-07-2020,130,44,498,0
01-08-2020,85,58,525,0
02-08-2020,25,0,550,0
03-08-2020,36,59,527,0
04-08-2020,32,62,497,0
05-08-2020,37,46,488,0
06-08-2020,33,46,475,0
07-08-2020,39,50,464,0
08-08-2020,38,78,424,0
09-08-2020,30,116,338,0
10-08-2020,4,61,281,0
11-08-2020,20,41,260,0
12-08-2020,19,26,253,0
13-08-2020,75,8,320,0
14-08-2020,40,32,328,0
15-08-2020,49,37,340,0
16-08-2020,44,24,359,1
17-08-2020,2,33,329,0
18-08-2020,65,29,365,0
19-08-2020,87,18,433,1
20-08-2020,119,19,533,0
21-08-2020,78,37,574,0
22-08-2020,93,29,638,0
23-08-2020,104,45,697,0
24-08-2020,6,31,672,0
25-08-2020,93,32,733,0
26-08-2020,180,43,870,0
27-08-2020,167,37,1000,0
28-08-2020,88,49,1039,0
29-08-2020,75,89,1025,0
30-08-2020,133,132,1026,0
31-08-2020,107,72,1061,0
01-09-2020,12,78,995,0
02-09-2020,17,112,900,0
03-09-2020,118,36,982,0
04-09-2020,141,105,1018,0
05-09-2020,148,140,1026,0
06-09-2020,113,88,1051,0
07-09-2020,24,123,952,0
08-09-2020,160,90,1022,0
09-09-2020,190,116,1096,0
10-09-2020,135,53,1178,0
11-09-2020,93,35,1236,0
12-09-2020,88,54,1270,0
13-09-2020,102,191,1181,0
14-09-2020,16,103,1094,0
15-09-2020,146,122,1118,0
16-09-2020,236,157,1197,0
17-09-2020,136,102,1231,0
18-09-2020,101,128,1204,0
19-09-2020,221,154,1271,0
20-09-2020,190,89,1372,0
21-09-2020,16,79,1309,0
22-09-2020,207,117,1399,0
23-09-2020,223,127,1495,0
24-09-2020,189,99,1585,0
25-09-2020,191,120,1655,1
26-09-2020,329,149,1834,1
27-09-2020,263,125,1972,0
28-09-2020,38,150,1860,0
29-09-2020,271,137,1994,0
30-09-2020,286,204,2075,1
01-10-2020,223,82,2216,0
02-10-2020,239,218,2237,0
03-10-2020,296,131,2402,0
04-10-2020,315,167,2550,0
05-10-2020,25,102,2473,0
06-10-2020,330,180,2623,0
07-10-2020,393,222,2794,0
08-10-2020,295,139,2950,0
09-10-2020,290,222,3018,0
10-10-2020,348,209,3157,0
11-10-2020,378,240,3295,0
12-10-2020,186,151,3330,0
13-10-2020,244,203,3371,0
14-10-2020,169,321,3219,0
15-10-2020,248,302,3165,0
16-10-2020,296,257,3203,1
17-10-2020,203,302,3104,0
18-10-2020,179,375,2908,0
19-10-2020,32,182,2758,0
20-10-2020,248,301,2704,1
21-10-2020,247,330,2620,1
22-10-2020,195,250,2565,0
23-10-2020,285,327,2523,0
24-10-2020,331,250,2604,0
25-10-2020,303,106,2800,1
26-10-2020,24,180,2644,0
27-10-2020,112,153,2603,0
28-10-2020,260,265,2598,0
29-10-2020,270,199,2669,0
30-10-2020,163,145,2686,1
31-10-2020,203,259,2629,1
01-11-2020,160,208,2581,0
02-11-2020,44,228,2397,0
03-11-2020,245,279,2363,0
04-11-2020,186,286,2263,0
05-11-2020,212,364,2111,0
06-11-2020,183,152,2142,0
07-11-2020,147,196,2090,3
08-11-2020,153,230,2013,0
09-11-2020,43,147,1909,0
10-11-2020,234,175,1967,1
11-11-2020,230,174,2023,0
12-11-2020,138,165,1996,0
13-11-2020,189,89,2096,0
14-11-2020,143,229,2010,0
15-11-2020,171,164,2017,0
16-11-2020,40,155,1902,0
17-11-2020,202,154,1950,0
18-11-2020,234,226,1958,0
19-11-2020,200,124,2034,0
20-11-2020,174,137,2071,0
21-11-2020,216,167,2120,0
22-11-2020,169,198,2091,0
23-11-2020,57,173,1975,0
24-11-2020,197,100,2072,0
25-11-2020,287,170,2189,0
26-11-2020,207,168,2228,0
27-11-2020,159,127,2258,2
28-11-2020,141,146,2253,0
29-11-2020,244,162,2335,0
30-11-2020,91,143,2283,0
01-12-2020,283,232,2334,0
02-12-2020,299,193,2440,0
03-12-2020,317,169,2588,0
04-12-2020,163,130,2621,0
05-12-2020,208,268,2560,1
06-12-2020,197,172,2585,0
07-12-2020,121,171,2535,0
08-12-2020,238,159,2614,0
09-12-2020,254,182,2678,8
10-12-2020,200,183,2695,0
11-12-2020,379,150,2924,0
12-12-2020,333,204,3052,1
13-12-2020,229,198,3081,2
14-12-2020,133,213,3001,0
15-12-2020,404,188,3216,1
16-12-2020,443,226,3431,2
17-12-2020,432,184,3672,7
18-12-2020,404,190,3886,0
19-12-2020,375,185,4074,1
20-12-2020,360,182,4251,1
21-12-2020,112,250,4113,0
22-12-2020,546,251,4407,1
23-12-2020,406,201,4611,1
24-12-2020,405,228,4787,1
25-12-2020,543,240,5089,1
26-12-2020,177,268,4997,1
27-12-2020,389,148,5237,1
28-12-2020,91,203,5125,0
29-12-2020,561,242,5444,0
30-12-2020,714,243,5912,3
31-12-2020,512,421,5999,4
01-01-2021,493,255,6237,0
02-01-2021,452,273,6413,3
03-01-2021,385,199,6598,0
04-01-2021,110,400,6308,0
05-01-2021,665,327,6642,3
06-01-2021,666,173,7133,1
07-01-2021,514,545,7101,1
08-01-2021,433,728,6806,0
09-01-2021,470,294,6982,0
10-01-2021,447,327,7102,0
11-01-2021,131,281,6951,1
12-01-2021,482,320,7113,0
13-01-2021,448,336,7223,1
14-01-2021,579,317,7484,1
15-01-2021,443,405,7521,0
16-01-2021,487,256,7750,2
17-01-2021,427,437,7735,5
18-01-2021,123,333,7523,2
19-01-2021,512,1034,7001,0
20-01-2021,654,1041,6614,0
21-01-2021,534,798,6350,0
22-01-2021,624,595,6379,0
23-01-2021,557,328,6606,2
24-01-2021,458,224,6838,2
25-01-2021,117,253,6699,2
26-01-2021,552,806,6445,0
27-01-2021,397,705,6133,4
28-01-2021,452,529,6056,0
29-01-2021,447,418,6084,1
30-01-2021,556,297,6343,0
31-01-2021,496,402,6434,3
01-02-2021,184,266,6351,1
02-02-2021,524,787,6088,0
03-02-2021,597,234,6449,2
04-02-2021,569,574,6444,0
05-02-2021,521,467,6498,0
06-02-2021,496,400,6594,0
07-02-2021,570,224,6940,0
08-02-2021,244,443,6740,1
09-02-2021,496,423,6813,0
10-02-2021,571,417,6966,1
11-02-2021,694,452,7208,0
12-02-2021,542,568,7182,0
13-02-2021,480,532,7129,1
14-02-2021,465,257,7334,3
15-02-2021,107,482,6959,0
16-02-2021,524,589,6894,0
17-02-2021,546,121,7319,0
18-02-2021,492,851,6959,1
19-02-2021,412,566,6805,0
20-02-2021,317,550,6571,1
21-02-2021,391,299,6662,1
22-02-2021,97,488,6270,1
23-02-2021,430,581,6117,2
