Date,Confirmed,Recovered,Active,Death
30-01-2020,1,0,1,0
20-02-2020,0,1,0,0
12-03-2020,1,0,1,0
23-03-2020,1,0,2,0
25-03-2020,0,1,1,0
26-03-2020,2,0,3,0
27-03-2020,1,0,4,0
29-03-2020,1,0,5,0
31-03-2020,1,0,6,0
01-04-2020,2,0,8,0
02-04-2020,1,0,9,0
03-04-2020,1,0,10,0
06-04-2020,0,1,9,0
08-04-2020,1,3,7,0
10-04-2020,0,1,6,0
11-04-2020,0,1,5,0
13-04-2020,0,3,2,0
14-04-2020,0,1,1,0
19-04-2020,0,1,0,0
10-05-2020,2,0,2,0
16-05-2020,4,0,6,0
17-05-2020,1,0,7,0
18-05-2020,4,0,11,0
19-05-2020,1,0,12,0
20-05-2020,2,2,12,0
21-05-2020,3,0,15,0
22-05-2020,4,0,18,1
26-05-2020,4,0,22,0
28-05-2020,7,0,29,0
29-05-2020,6,0,35,0
30-05-2020,10,3,42,0
31-05-2020,3,0,45,0
01-06-2020,9,0,54,0
02-06-2020,6,0,60,0
03-06-2020,4,1,63,0
04-06-2020,4,2,65,0
05-06-2020,8,5,68,0
06-06-2020,16,0,84,0
07-06-2020,26,13,97,0
08-06-2020,27,0,123,1
09-06-2020,6,4,125,0
10-06-2020,9,0,133,1
11-06-2020,25,7,151,0
12-06-2020,14,4,161,0
13-06-2020,4,3,162,0
14-06-2020,7,8,161,0
15-06-2020,3,6,158,0
16-06-2020,7,3,162,0
17-06-2020,8,11,159,0
18-06-2020,6,22,143,0
19-06-2020,1,13,131,0
20-06-2020,6,0,137,0
21-06-2020,16,38,115,0
22-06-2020,12,6,121,0
23-06-2020,14,10,125,0
24-06-2020,15,4,136,0
25-06-2020,10,3,143,0
26-06-2020,7,15,135,0
27-06-2020,22,7,150,0
28-06-2020,17,5,162,0
29-06-2020,26,5,183,0
30-06-2020,4,13,174,0
01-07-2020,16,16,174,0
02-07-2020,9,8,175,0
03-07-2020,21,5,191,0
04-07-2020,20,10,201,0
05-07-2020,12,12,201,0
