Date,Confirmed,Recovered,Active,Death
13-03-2020,3,0,3,0
15-03-2020,1,0,4,0
24-03-2020,1,0,5,0
25-03-2020,0,1,4,0
28-03-2020,2,1,5,0
29-03-2020,1,0,6,0
31-03-2020,2,0,7,1
01-04-2020,2,1,8,0
02-04-2020,1,1,8,0
04-04-2020,0,1,7,0
07-04-2020,0,1,6,0
08-04-2020,0,2,4,0
09-04-2020,1,0,5,0
11-04-2020,0,3,2,0
21-04-2020,0,1,1,0
23-04-2020,1,0,2,0
26-04-2020,0,1,1,0
27-04-2020,0,1,0,0
29-04-2020,2,0,2,0
04-05-2020,0,2,0,0
18-05-2020,4,0,4,0
20-05-2020,2,0,6,0
21-05-2020,2,0,8,0
24-05-2020,13,0,21,0
25-05-2020,5,0,26,0
28-05-2020,8,0,33,1
29-05-2020,5,0,38,0
30-05-2020,2,1,39,0
31-05-2020,4,1,42,0
01-06-2020,3,3,42,0
02-06-2020,7,2,46,1
03-06-2020,14,6,54,0
04-06-2020,5,1,58,0
05-06-2020,5,1,62,0
06-06-2020,3,0,65,0
07-06-2020,4,1,68,0
08-06-2020,3,0,71,0
09-06-2020,10,11,70,0
10-06-2020,6,3,73,0
11-06-2020,0,16,57,0
12-06-2020,1,2,56,0
13-06-2020,0,4,52,0
14-06-2020,4,4,52,0
15-06-2020,1,3,49,1
16-06-2020,4,14,39,0
17-06-2020,3,10,32,0
18-06-2020,5,9,28,0
19-06-2020,8,4,32,0
20-06-2020,5,2,35,0
21-06-2020,9,0,44,0
22-06-2020,11,0,55,0
23-06-2020,4,3,56,0
24-06-2020,4,0,60,0
25-06-2020,2,0,62,0
26-06-2020,7,0,69,0
27-06-2020,4,3,70,0
28-06-2020,9,1,78,0
29-06-2020,4,3,79,0
30-06-2020,5,6,77,1
01-07-2020,4,3,78,0
02-07-2020,9,15,72,0
03-07-2020,17,5,84,0
04-07-2020,16,10,90,0
05-07-2020,27,10,107,0
06-07-2020,7,7,107,0
07-07-2020,54,3,158,0
08-07-2020,64,5,217,0
09-07-2020,95,9,303,0
10-07-2020,129,5,427,0
11-07-2020,69,6,489,1
12-07-2020,40,2,527,0
13-07-2020,63,4,586,0
14-07-2020,201,15,772,0
15-07-2020,157,10,919,0
16-07-2020,339,1,1257,0
17-07-2020,246,9,1494,0
18-07-2020,173,6,1659,2
19-07-2020,222,23,1858,0
20-07-2020,182,1,2039,0
21-07-2020,151,10,2179,1
22-07-2020,226,9,2394,0
23-07-2020,222,60,2554,1
24-07-2020,167,101,2619,1
25-07-2020,240,229,2630,0
26-07-2020,175,51,2754,0
27-07-2020,161,65,2850,0
28-07-2020,222,170,2901,1
29-07-2020,213,126,2988,0
30-07-2020,70,220,2837,0
31-07-2020,320,114,3043,0
01-08-2020,259,168,3133,1
02-08-2020,377,66,3443,1
03-08-2020,205,253,3394,1
04-08-2020,242,310,3324,1
05-08-2020,274,528,3068,0
06-08-2020,219,137,3145,1
07-08-2020,289,150,3282,1
08-08-2020,485,777,2988,0
09-08-2020,292,101,3179,0
10-08-2020,200,180,3196,1
11-08-2020,297,498,2990,3
12-08-2020,266,180,3074,1
13-08-2020,434,197,3310,1
14-08-2020,310,199,3415,6
15-08-2020,321,170,3563,3
16-08-2020,519,190,3890,1
17-08-2020,461,270,4077,3
18-08-2020,489,310,4252,2
19-08-2020,540,224,4565,2
20-08-2020,429,230,4756,8
21-08-2020,429,258,4926,0
22-08-2020,464,290,5091,9
23-08-2020,397,125,5361,2
24-08-2020,182,170,5370,3
25-08-2020,391,303,5456,2
26-08-2020,461,201,5704,12
27-08-2020,352,623,5429,4
28-08-2020,532,544,5413,4
29-08-2020,408,591,5230,0
30-08-2020,310,161,5378,1
31-08-2020,221,374,5221,4
01-09-2020,227,394,5052,1
02-09-2020,228,402,4875,3
03-09-2020,317,343,4842,7
04-09-2020,477,426,4890,3
05-09-2020,590,512,4963,4
06-09-2020,528,618,4869,4
07-09-2020,253,614,4501,7
08-09-2020,562,389,4670,4
09-09-2020,531,613,4582,6
10-09-2020,558,483,4655,2
11-09-2020,494,308,4838,3
12-09-2020,566,393,5005,6
13-09-2020,412,291,5118,8
14-09-2020,332,415,5031,3
15-09-2020,656,268,5413,5
16-09-2020,675,418,5669,1
17-09-2020,820,547,5939,3
18-09-2020,926,488,6372,4
19-09-2020,824,564,6627,5
20-09-2020,892,478,7037,2
21-09-2020,533,519,7047,4
22-09-2020,681,469,7248,11
23-09-2020,852,321,7775,3
24-09-2020,875,296,8343,11
25-09-2020,814,411,8740,6
26-09-2020,1050,373,9415,2
27-09-2020,853,434,9828,6
28-09-2020,486,506,9804,3
29-09-2020,935,433,10303,3
30-09-2020,986,379,10903,6
01-10-2020,856,363,11387,9
02-10-2020,1096,357,12121,4
03-10-2020,1049,906,12256,8
04-10-2020,1119,880,12487,8
05-10-2020,700,910,12274,2
06-10-2020,989,850,12404,9
07-10-2020,1182,820,12752,14
08-10-2020,467,1520,11690,9
09-10-2020,1012,1074,11621,7
10-10-2020,1310,905,12017,9
11-10-2020,797,1200,11612,2
12-10-2020,629,830,11405,6
13-10-2020,777,815,11367,0
14-10-2020,581,871,11070,6
15-10-2020,679,775,10954,18
16-10-2020,595,780,10763,5
17-10-2020,848,860,10743,7
18-10-2020,685,1210,10212,4
19-10-2020,516,1670,9054,3
20-10-2020,470,360,9159,5
21-10-2020,657,705,9106,5
22-10-2020,838,909,9030,5
23-10-2020,890,712,9204,4
24-10-2020,909,951,9157,5
25-10-2020,712,941,8922,6
26-10-2020,513,747,8688,0
27-10-2020,413,654,8443,3
28-10-2020,785,594,8629,5
29-10-2020,789,880,8529,9
30-10-2020,587,715,8394,7
31-10-2020,790,562,8622,0
01-11-2020,591,831,8377,5
02-11-2020,361,507,8227,4
03-11-2020,654,563,8309,8
04-11-2020,651,881,8073,6
05-11-2020,756,622,8198,9
06-11-2020,617,824,7984,7
07-11-2020,719,761,7940,2
08-11-2020,421,881,7478,2
09-11-2020,324,452,7342,8
10-11-2020,567,580,7323,6
11-11-2020,484,704,7095,8
12-11-2020,386,304,7174,3
13-11-2020,439,727,6880,6
14-11-2020,468,885,6458,4
15-11-2020,314,571,6195,6
16-11-2020,204,310,6083,5
17-11-2020,391,561,5908,5
18-11-2020,468,579,5794,3
19-11-2020,456,658,5589,3
20-11-2020,393,611,5368,3
21-11-2020,399,609,5150,7
22-11-2020,383,546,4979,8
23-11-2020,229,751,4455,2
24-11-2020,350,441,4360,4
25-11-2020,461,461,4357,2
26-11-2020,457,488,4324,2
27-11-2020,262,334,4250,2
28-11-2020,488,365,4369,4
29-11-2020,370,638,4099,2
30-11-2020,234,334,3994,4
01-12-2020,404,467,3927,4
02-12-2020,523,465,3981,4
03-12-2020,424,380,4019,5
04-12-2020,279,451,3846,1
05-12-2020,288,337,3792,3
06-12-2020,345,377,3759,1
07-12-2020,255,297,3712,4
08-12-2020,272,350,3631,3
09-12-2020,181,401,3408,3
10-12-2020,282,302,3382,4
11-12-2020,277,392,3260,5
12-12-2020,373,529,3102,2
13-12-2020,254,342,3010,4
14-12-2020,222,198,3033,1
15-12-2020,430,290,3164,7
16-12-2020,345,320,3185,4
17-12-2020,271,265,3190,1
18-12-2020,309,273,3221,5
19-12-2020,363,315,3264,4
20-12-2020,333,315,3278,3
21-12-2020,222,227,3267,5
22-12-2020,333,320,3277,3
23-12-2020,404,312,3363,4
24-12-2020,334,310,3384,3
25-12-2020,292,408,3263,5
26-12-2020,202,221,3239,5
27-12-2020,322,248,3310,3
28-12-2020,188,262,3230,5
29-12-2020,414,375,3267,2
30-12-2020,320,392,3192,3
31-12-2020,420,333,3278,1
01-01-2021,386,357,3304,2
02-01-2021,290,355,3237,2
03-01-2021,282,264,3253,2
04-01-2021,222,271,3202,2
05-01-2021,388,284,3301,5
06-01-2021,416,355,3358,3
07-01-2021,284,340,3295,7
08-01-2021,313,307,3300,1
09-01-2021,344,352,3290,2
10-01-2021,288,395,3182,1
11-01-2021,222,212,3190,1
12-01-2021,350,298,3239,2
13-01-2021,386,335,3288,2
14-01-2021,295,296,3283,3
15-01-2021,301,321,3258,5
16-01-2021,377,361,3271,3
17-01-2021,296,431,3134,2
18-01-2021,296,218,3212,0
19-01-2021,404,341,3271,4
20-01-2021,377,375,3269,4
21-01-2021,468,333,3402,1
22-01-2021,515,272,3638,7
23-01-2021,522,428,3731,1
24-01-2021,399,345,3780,5
25-01-2021,313,202,3889,1
26-01-2021,525,372,4040,2
27-01-2021,353,354,4037,1
28-01-2021,408,270,4169,6
29-01-2021,414,376,4200,7
30-01-2021,350,471,4077,2
31-01-2021,300,382,3994,1
01-02-2021,288,255,4027,0
02-02-2021,383,326,4081,2
03-02-2021,489,571,3991,8
04-02-2021,409,370,4024,6
05-02-2021,444,416,4048,4
06-02-2021,480,485,4039,4
07-02-2021,442,525,3950,5
08-02-2021,380,248,4078,4
09-02-2021,455,422,4104,6
10-02-2021,455,354,4200,4
11-02-2021,293,400,4093,0
12-02-2021,393,424,4055,7
13-02-2021,363,406,4012,0
14-02-2021,305,367,3947,2
15-02-2021,248,302,3892,1
16-02-2021,373,368,3894,3
17-02-2021,344,479,3754,4
18-02-2021,300,364,3686,3
19-02-2021,333,387,3630,2
20-02-2021,328,459,3497,1
21-02-2021,266,370,3389,4
22-02-2021,199,247,3340,1
23-02-2021,255,367,3226,2
24-02-2021,263,350,3136,3
25-02-2021,261,382,3013,1
26-02-2021,234,372,2874,1
27-02-2021,240,394,2713,7
28-02-2021,160,314,2556,3
01-03-2021,118,171,2501,2
02-03-2021,190,298,2391,2
03-03-2021,158,382,2166,1
04-03-2021,222,223,2164,1
05-03-2021,190,337,2013,4
06-03-2021,188,368,1831,2
07-03-2021,175,205,1799,2
08-03-2021,139,153,1783,2
09-03-2021,160,238,1704,1
10-03-2021,178,250,1628,3
11-03-2021,116,193,1550,1
12-03-2021,165,130,1582,3
13-03-2021,162,191,1552,1
14-03-2021,161,166,1546,1
15-03-2021,130,121,1554,1
16-03-2021,165,183,1536,0
17-03-2021,180,229,1487,0
18-03-2021,200,114,1573,0
19-03-2021,131,166,1538,0
20-03-2021,200,185,1552,1
21-03-2021,155,177,1525,5
22-03-2021,175,92,1606,2
23-03-2021,148,168,1586,0
24-03-2021,300,180,1706,0
25-03-2021,202,175,1731,2
26-03-2021,150,128,1748,5
27-03-2021,166,178,1736,0
28-03-2021,147,174,1709,0
29-03-2021,155,98,1764,2
30-03-2021,225,163,1824,2
31-03-2021,234,194,1860,4
01-04-2021,163,180,1842,1
02-04-2021,212,141,1913,0
03-04-2021,180,130,1962,0
04-04-2021,185,152,1993,2
05-04-2021,249,127,2114,1
06-04-2021,210,211,2113,0
07-04-2021,330,174,2266,3
08-04-2021,444,143,2567,0
09-04-2021,422,187,2802,0
10-04-2021,550,247,3103,2
11-04-2021,525,130,3492,6
12-04-2021,505,144,3851,2
13-04-2021,579,196,4232,2
14-04-2021,666,338,4556,4
15-04-2021,800,512,4841,3
16-04-2021,750,648,4941,2
17-04-2021,909,520,5324,6
18-04-2021,990,651,5658,5
19-04-2021,981,497,6137,5
20-04-2021,1490,379,7245,3
21-04-2021,1881,552,8566,8
22-04-2021,2283,490,10352,6
23-04-2021,2345,711,11985,1
24-04-2021,2383,794,13571,3
25-04-2021,2020,861,14724,6
26-04-2021,2272,806,16188,2
27-04-2021,2892,1012,18059,9
28-04-2021,3210,1154,20108,7
29-04-2021,3940,1572,22476,0
30-04-2021,3535,1602,24391,18
01-05-2021,3111,1719,25781,2
02-05-2021,3424,1899,27298,8
03-05-2021,2450,1956,27776,16
04-05-2021,3388,1989,29147,28
05-05-2021,3727,2221,30633,18
06-05-2021,3969,2389,32199,14
07-05-2021,3950,2363,33763,23
08-05-2021,4560,2403,35920,0
09-05-2021,4240,2632,37518,10
10-05-2021,3494,2696,38307,9
11-05-2021,3700,2831,39141,35
12-05-2021,4284,2338,41073,14
13-05-2021,4050,2497,42596,30
14-05-2021,4567,2802,44356,5
15-05-2021,3292,2912,44711,25
16-05-2021,2818,2989,44511,29
17-05-2021,2364,16100,30752,22
18-05-2021,3355,7919,26163,25
19-05-2021,3600,6312,23444,7
20-05-2021,3969,5512,21867,33
21-05-2021,4151,4584,21388,45
22-05-2021,3300,4525,20130,33
23-05-2021,2700,4869,17937,24
24-05-2021,2570,3048,17447,12
25-05-2021,3131,3112,17423,43
26-05-2021,2829,3198,17009,44
27-05-2021,3210,3247,16948,24
28-05-2021,2545,3276,16176,41
29-05-2021,2767,3058,15835,50
30-05-2021,2423,2983,15229,46
31-05-2021,1750,2924,14007,45
01-06-2021,2345,2023,14284,44
02-06-2021,2380,2531,14048,85
03-06-2021,2150,2621,13533,44
04-06-2021,2007,2507,13002,31
05-06-2021,2468,2236,13168,66
06-06-2021,2126,2304,12938,52
07-06-2021,1481,2275,12102,41
08-06-2021,1760,1273,12545,44
09-06-2021,1783,1503,12781,43
10-06-2021,2030,1481,13292,38
11-06-2021,2060,1821,13491,39
12-06-2021,2234,2167,13529,29
13-06-2021,1775,2315,12955,34
14-06-2021,1170,2289,11773,62
15-06-2021,1567,1451,11869,20
16-06-2021,1678,1634,11877,36
17-06-2021,1727,1486,12086,32
18-06-2021,1550,1581,12043,12
19-06-2021,1777,1659,12136,24
20-06-2021,1600,1877,11850,9
21-06-2021,963,1705,11080,28
22-06-2021,1345,1212,11181,31
23-06-2021,1501,1623,11016,43
24-06-2021,1248,1718,10520,26
25-06-2021,1291,1392,10400,19
26-06-2021,1522,1451,10443,27
27-06-2021,1401,1734,10094,16
28-06-2021,1100,1593,9583,18
29-06-2021,1255,1341,9476,21
30-06-2021,1470,1378,9539,29
01-07-2021,1341,1584,9278,18
02-07-2021,1115,1647,8721,25
03-07-2021,1113,1471,8339,24
04-07-2021,1099,1254,8174,10
05-07-2021,744,1209,7690,19
06-07-2021,1115,1011,7769,25
07-07-2021,1150,541,8362,16
08-07-2021,1060,643,8762,17
09-07-2021,1184,854,9070,22
10-07-2021,949,1012,8986,21
11-07-2021,1009,896,9091,8
12-07-2021,676,898,8860,9
13-07-2021,977,754,9064,19
14-07-2021,1133,837,9347,13
15-07-2021,936,1158,9112,13
16-07-2021,1020,1012,9109,10
17-07-2021,1025,1112,9007,15
18-07-2021,977,1133,8840,11
19-07-2021,700,1132,8397,11
20-07-2021,1055,451,8988,13
21-07-2021,1166,747,9390,17
22-07-2021,987,704,9658,15
23-07-2021,996,684,9958,12
24-07-2021,1107,856,10192,17
25-07-2021,1222,1012,10396,5
26-07-2021,727,1031,10080,11
27-07-2021,1100,859,10309,12
28-07-2021,1101,1226,10161,22
29-07-2021,1222,1013,10360,10
30-07-2021,1082,1169,10262,11
31-07-2021,969,1266,9952,13
01-08-2021,1050,1044,9953,5
02-08-2021,666,931,9682,6
03-08-2021,1133,797,10009,8
04-08-2021,1155,1153,9998,12
05-08-2021,1119,1154,9953,10
06-08-2021,1070,1175,9824,24
07-08-2021,944,979,9784,5
08-08-2021,933,1048,9660,9
09-08-2021,567,1061,9156,10
10-08-2021,1040,861,9315,20
11-08-2021,1255,1169,9390,11
12-08-2021,933,1237,9071,15
13-08-2021,1070,852,9281,8
14-08-2021,945,1174,9042,10
15-08-2021,927,1174,8791,4
16-08-2021,600,682,8701,8
17-08-2021,1155,764,9083,9
18-08-2021,1163,782,9458,6
19-08-2021,955,1416,8979,18
20-08-2021,835,1096,8714,4
21-08-2021,844,902,8648,8
22-08-2021,484,725,8401,6
23-08-2021,810,601,8604,6
24-08-2021,1435,1087,8943,9
25-08-2021,1700,1272,9364,6
26-08-2021,1996,1019,10335,6
27-08-2021,2255,1258,11320,12
28-08-2021,2360,1571,12099,10
29-08-2021,2150,1591,12652,6
30-08-2021,1700,1409,12935,8
31-08-2021,1980,1194,13709,12
01-09-2021,2579,1683,14581,22
02-09-2021,2440,1501,15506,14
03-09-2021,1878,1619,15759,6
04-09-2021,2314,1748,16317,8
05-09-2021,2103,1876,16537,7
06-09-2021,1483,2085,15927,8
07-09-2021,1686,2085,15508,20
08-09-2021,2900,1646,16747,15
09-09-2021,2598,2390,16938,17
10-09-2021,1877,2385,16416,14
11-09-2021,2217,1779,16835,19
12-09-2021,1884,2618,16093,8
13-09-2021,1387,1993,15479,8
14-09-2021,1627,1421,15668,17
15-09-2021,2143,1888,15910,13
16-09-2021,2135,2446,15587,12
17-09-2021,2045,1978,15642,12
18-09-2021,2050,2042,15638,12
19-09-2021,2105,2180,15549,14
20-09-2021,1468,2271,14738,8
21-09-2021,1591,1657,14657,15
22-09-2021,2313,1911,15040,19
23-09-2021,1734,1455,15307,12
24-09-2021,1802,2422,14676,11
25-09-2021,1961,2488,14136,13
26-09-2021,1861,2096,13886,15
27-09-2021,1133,2096,12917,6
28-09-2021,1339,1124,13121,11
29-09-2021,1282,743,13650,10
30-09-2021,1855,948,14544,13
01-10-2021,1464,821,15177,10
02-10-2021,1584,1102,15650,9
03-10-2021,1420,1354,15714,2
04-10-2021,1134,1731,15108,9
05-10-2021,1156,1948,14309,7
06-10-2021,1703,1508,14487,17
07-10-2021,1435,2217,13688,17
08-10-2021,1482,2104,13037,29
09-10-2021,1261,2241,12042,15
10-10-2021,1197,1911,11315,13
11-10-2021,1010,1403,10914,8
12-10-2021,902,1211,10595,10
13-10-2021,1125,1058,10645,17
14-10-2021,1363,1212,10772,24
15-10-2021,1288,1462,10592,6
16-10-2021,985,1351,10216,10
17-10-2021,953,1213,9935,21
18-10-2021,869,1174,9613,17
19-10-2021,963,1056,9514,6
20-10-2021,1700,1085,10116,13
21-10-2021,1102,1531,9665,22
22-10-2021,1214,1309,9270,300
23-10-2021,1221,1431,8827,233
24-10-2021,1210,1424,8476,137
25-10-2021,909,1081,8274,30
26-10-2021,808,598,8437,47
27-10-2021,1284,476,9234,11
28-10-2021,1089,563,9750,10
29-10-2021,1087,632,10191,14
30-10-2021,1001,747,10440,5
31-10-2021,878,754,10563,1
01-11-2021,750,792,10519,2
02-11-2021,990,830,10675,4
03-11-2021,1099,898,10845,31
04-11-2021,944,928,10860,1
05-11-2021,878,1202,10532,4
06-11-2021,888,1229,10185,6
07-11-2021,1052,1989,9244,4
08-11-2021,777,905,9111,5
09-11-2021,972,908,9173,2
10-11-2021,1083,951,9213,92
11-11-2021,1095,1247,9051,10
12-11-2021,967,1088,8885,45
13-11-2021,850,1017,8689,29
14-11-2021,650,992,8335,12
15-11-2021,709,959,8071,14
16-11-2021,798,930,7917,22
17-11-2021,839,694,8040,22
18-11-2021,848,830,8033,25
19-11-2021,929,905,8051,6
20-11-2021,949,1002,7987,11
21-11-2021,621,1392,7194,22
22-11-2021,465,1305,6352,2
23-11-2021,917,921,6319,29
24-11-2021,838,624,6497,36
25-11-2021,863,751,6563,46
26-11-2021,633,812,6344,40
27-11-2021,786,866,6249,15
28-11-2021,670,769,6142,8
29-11-2021,527,814,5832,23
30-11-2021,755,696,5860,31
01-12-2021,988,541,6262,45
02-12-2021,850,648,6414,50
03-12-2021,790,871,6301,32
04-12-2021,814,928,6159,28
05-12-2021,791,692,6226,32
06-12-2021,482,938,5752,18
07-12-2021,705,805,5632,20
08-12-2021,773,921,5459,25
09-12-2021,759,863,5317,38
