Date,Confirmed,Recovered,Active,Death
26-03-2020,1,0,1,0
30-03-2020,2,0,3,0
08-04-2020,0,2,1,0
25-04-2020,0,1,0,0
02-05-2020,1,0,1,0
05-05-2020,3,0,4,0
10-05-2020,3,0,7,0
11-05-2020,1,0,8,0
13-05-2020,2,0,10,0
14-05-2020,3,0,13,0
15-05-2020,5,0,18,0
16-05-2020,0,2,16,0
20-05-2020,0,1,15,0
21-05-2020,0,4,11,0
22-05-2020,1,0,12,0
23-05-2020,1,0,13,0
24-05-2020,0,3,9,1
25-05-2020,0,1,8,0
27-05-2020,3,1,10,0
29-05-2020,2,5,7,0
31-05-2020,3,0,10,0
01-06-2020,0,1,9,0
02-06-2020,6,0,15,0
04-06-2020,2,2,15,0
05-06-2020,3,0,18,0
08-06-2020,2,2,18,0
09-06-2020,6,1,23,0
10-06-2020,4,6,21,0
13-06-2020,1,1,21,0
14-06-2020,1,1,21,0
15-06-2020,1,0,22,0
16-06-2020,0,5,17,0
17-06-2020,3,0,20,0
18-06-2020,0,2,18,0
19-06-2020,4,0,22,0
20-06-2020,5,2,25,0
22-06-2020,5,0,30,0
23-06-2020,2,3,29,0
24-06-2020,2,0,31,0
25-06-2020,2,0,33,0
26-06-2020,5,0,38,0
27-06-2020,5,0,43,0
28-06-2020,5,1,47,0
30-06-2020,0,4,43,0
01-07-2020,3,3,43,0
02-07-2020,1,0,44,0
03-07-2020,1,10,35,0
04-07-2020,2,0,37,0
05-07-2020,6,6,37,0
06-07-2020,8,0,45,0
07-07-2020,3,4,44,0
08-07-2020,14,0,58,0
09-07-2020,7,3,62,0
10-07-2020,0,4,58,0
11-07-2020,11,0,69,0
12-07-2020,19,0,88,0
13-07-2020,14,16,86,0
14-07-2020,12,0,98,0
15-07-2020,4,1,101,0
16-07-2020,13,1,113,0
17-07-2020,28,4,137,0
18-07-2020,26,4,159,0
19-07-2020,1,0,160,0
20-07-2020,26,0,186,0
21-07-2020,17,14,189,0
22-07-2020,4,5,188,0
23-07-2020,10,5,193,0
24-07-2020,15,21,187,0
25-07-2020,17,45,159,0
26-07-2020,28,0,187,0
27-07-2020,17,49,155,0
28-07-2020,53,18,190,0
29-07-2020,43,9,224,0
30-07-2020,3,17,210,0
31-07-2020,124,19,315,0
01-08-2020,46,5,356,0
02-08-2020,19,19,356,0
03-08-2020,31,8,379,0
04-08-2020,17,9,387,0
05-08-2020,14,40,361,0
06-08-2020,46,20,387,0
07-08-2020,55,34,408,0
08-08-2020,10,55,363,0
09-08-2020,25,48,340,0
10-08-2020,33,41,331,1
11-08-2020,18,48,301,0
12-08-2020,12,15,298,0
13-08-2020,27,30,295,0
14-08-2020,57,33,319,0
15-08-2020,48,20,347,0
16-08-2020,49,61,335,0
17-08-2020,15,13,337,0
18-08-2020,47,46,337,1
19-08-2020,17,12,342,0
20-08-2020,35,24,353,0
21-08-2020,26,44,335,0
22-08-2020,25,52,308,0
23-08-2020,10,39,279,0
24-08-2020,20,25,274,0
25-08-2020,37,32,278,1
26-08-2020,30,32,276,0
27-08-2020,25,44,257,0
28-08-2020,19,7,269,0
29-08-2020,21,38,251,1
30-08-2020,13,22,242,0
31-08-2020,25,28,239,0
01-09-2020,8,24,223,0
02-09-2020,38,26,235,0
03-09-2020,18,17,236,0
04-09-2020,84,28,292,0
05-09-2020,20,29,283,0
06-09-2020,40,30,293,0
07-09-2020,4,20,277,0
08-09-2020,24,25,276,0
09-09-2020,77,25,328,0
10-09-2020,95,10,413,0
11-09-2020,52,15,450,0
12-09-2020,54,31,473,0
13-09-2020,56,33,496,0
14-09-2020,20,76,440,0
15-09-2020,64,32,472,0
16-09-2020,99,12,559,0
17-09-2020,107,79,587,0
18-09-2020,68,79,576,0
19-09-2020,95,31,640,0
20-09-2020,97,53,684,0
21-09-2020,18,46,656,0
22-09-2020,81,61,676,0
23-09-2020,59,27,708,0
24-09-2020,106,105,709,0
25-09-2020,74,79,704,0
26-09-2020,89,94,699,0
27-09-2020,172,117,754,0
28-09-2020,44,63,735,0
29-09-2020,169,53,851,0
30-09-2020,214,51,1014,0
01-10-2020,143,59,1098,0
02-10-2020,108,75,1131,0
03-10-2020,81,92,1120,0
04-10-2020,109,97,1132,0
05-10-2020,31,90,1073,0
06-10-2020,135,102,1106,0
07-10-2020,138,103,1141,0
08-10-2020,131,129,1143,0
09-10-2020,127,152,1118,0
10-10-2020,187,130,1175,0
11-10-2020,148,96,1227,0
12-10-2020,35,103,1159,0
13-10-2020,110,122,1147,0
14-10-2020,84,66,1165,0
15-10-2020,143,119,1189,0
16-10-2020,158,155,1192,0
17-10-2020,121,144,1169,0
18-10-2020,144,122,1191,0
19-10-2020,51,128,1114,0
20-10-2020,87,113,1088,0
21-10-2020,132,92,1128,0
22-10-2020,71,120,1079,0
23-10-2020,146,113,1112,0
24-10-2020,79,126,1065,0
25-10-2020,87,133,1019,0
26-10-2020,28,107,936,4
27-10-2020,103,111,928,0
28-10-2020,188,137,978,1
29-10-2020,93,99,971,1
30-10-2020,90,109,951,1
31-10-2020,145,88,1007,1
01-11-2020,86,132,961,0
02-11-2020,46,72,935,0
03-11-2020,118,83,969,1
04-11-2020,151,87,1033,0
05-11-2020,114,79,1067,1
06-11-2020,167,134,1099,1
07-11-2020,113,106,1106,0
08-11-2020,105,105,1105,1
09-11-2020,50,104,1049,2
10-11-2020,112,135,1026,0
11-11-2020,159,83,1102,0
12-11-2020,100,83,1119,0
13-11-2020,106,160,1065,0
14-11-2020,171,109,1127,0
15-11-2020,101,126,1101,1
16-11-2020,37,67,1070,1
17-11-2020,97,117,1050,0
18-11-2020,158,76,1132,0
19-11-2020,114,118,1128,0
20-11-2020,135,151,1112,0
21-11-2020,152,79,1185,0
22-11-2020,153,121,1217,0
23-11-2020,39,82,1173,1
24-11-2020,103,111,1165,0
25-11-2020,239,71,1333,0
26-11-2020,151,129,1355,0
27-11-2020,105,93,1367,0
28-11-2020,251,145,1473,0
29-11-2020,147,140,1479,1
30-11-2020,90,116,1453,0
01-12-2020,150,138,1464,1
02-12-2020,275,108,1631,0
03-12-2020,238,97,1771,1
04-12-2020,180,139,1810,2
05-12-2020,258,148,1919,1
06-12-2020,213,80,2051,0
07-12-2020,63,150,1964,0
08-12-2020,284,125,2122,1
09-12-2020,241,111,2252,0
10-12-2020,114,115,2251,0
11-12-2020,87,149,2188,1
12-12-2020,283,320,2148,3
13-12-2020,234,201,2180,1
14-12-2020,61,154,2086,1
15-12-2020,281,162,2204,1
16-12-2020,361,155,2409,1
17-12-2020,140,209,2340,0
18-12-2020,219,192,2365,2
19-12-2020,239,157,2446,1
20-12-2020,206,164,2487,1
21-12-2020,65,120,2431,1
22-12-2020,202,195,2435,3
23-12-2020,260,152,2542,1
24-12-2020,165,179,2527,1
25-12-2020,259,196,2590,0
26-12-2020,68,109,2549,0
27-12-2020,231,162,2617,1
28-12-2020,160,72,2705,0
29-12-2020,208,223,2690,0
30-12-2020,267,217,2740,0
31-12-2020,165,298,2606,1
01-01-2021,174,214,2566,0
02-01-2021,204,178,2591,1
03-01-2021,148,127,2612,0
04-01-2021,79,151,2540,0
05-01-2021,175,171,2541,3
06-01-2021,210,110,2640,1
07-01-2021,244,256,2628,0
08-01-2021,238,126,2740,0
09-01-2021,213,139,2814,0
10-01-2021,173,228,2759,0
11-01-2021,76,34,2801,0
12-01-2021,207,110,2897,1
14-01-2021,229,171,2955,0
13-01-2021,248,179,3022,2
15-01-2021,241,208,3055,0
16-01-2021,238,180,3112,1
17-01-2021,226,179,3158,1
18-01-2021,68,55,3170,1
19-01-2021,245,196,3217,2
20-01-2021,322,192,3347,0
21-01-2021,238,235,3350,0
22-01-2021,255,163,3442,0
